darija_ar,translated_eng
بغيت نمشي لحمّام,I want to go to the bathroom
ف لڭاراڭ,in the garage
توحشت لييام ملي سايف كان كولو دحك,I remember the day when the kitchen was full of fun
"إدان, أه, فيعلان, عقلت علا لفيلم لغابي ديالك","Yes, yes, yes, actually, I thought about your language movie"
تاحيياتي,my life
ماشي نفس لحاجة.,Not exactly the same.
إمكن ماعدناش نفس شاريكا تل إتّيصالات,Maybe we're not the same team as the receivers
ديما نفس الصوت?,Is it always the same sound?
كان عندها ماوهيبا لموسيقا إلا باقي عاقل,She had a passion for music but she was smart
واش هادشي كايوقاع بزاف?,Is this too much?
أنا صاراحاتان مازال ماكانعرفش ل كوككتايلس ديالي,I'm really not familiar with my cocktails yet
ماري كاتخسل سنانها زوج مرات فهار,Mary has had her teeth brushed twice a week
هادشي كايعني بزاف ليا أنّانا نبقاو علا إتّيسال,That means a lot to me that we should stay on the ice
بانو لييا لمووادافين كايطهلّاو بزاف,I think the two parties spend a lot of time
والاكين مامنوع لبكا ف لحافلا ديالي,But I'm not a fan of the party
متّافق علا تاخطيط,I agree to plan
وقت,time
سماح لييا ماساولتكش كيداز نهارك?,I'm sorry your question is so important today?
معامن كاتخرج عاداتان ?,how do you usually get out?
فيلم و عشا أحسّن كومبو,The movie and dinner are the best
نقدر نديرها بعيني مسدودين,I can do it with my eyes closed
"أمريكا لجانوبييا كانت فشكال, مختالفا علا لبلاد","South America was different, different from the country"
ماتعطّلش علا ل حيصّا,don't give him a break
شريت كامرا جديدا,I bought a new camera
"و صاراحاتان, واش كاتضنّ غايحلّو لبيبان ت طيّارا ويخلّيونا النقّزو?","And honestly, do you think they'll open the airport gate and leave us alone?"
شتح ف ل عرس,I'm at the wedding
ماعادا إلا ڭولنا ليهوم يجيبو شويا معاهوم.,Unless we tell them to bring some with them.
الناتاإج ديال لعام,The year's score
التلفازا ماخدّاماش,the TV is not working
أبادان!,You are so good!
كاتشتح فسالون,you're breaking the rules
تعادلنا,we're equal
ماكنتش موالاف مزيان هاد سيمانا,I didn't have a good mood this week
لكتاب راه تحت الطبلا,the book is under the cover
كاتخيت حوايجها,She's packing her bags
خلّيه عليك فتّيقار,leave him alone
أنا ديما فميزاج خايب,I'm always in a bad mood
توادرو لييا لاوراق,I've been given the papers
هادي هيا لحايات,That's life
نسيتو,i forgot
إمكان كايبور شي واحد أُكايدير لموخاديرات فلماكلا ديالك,Maybe someone can take care of the dishes in your kitchen
غادي نشوف واش كاين لي غادي إوصّل لماكلا,I'll see if I can get the food delivered
ماجموعا سيال 30 بورڭر صغار,a total of 30 younger bourgers
أشنو كادان بلي أيخاسنا نديروه?,What's the worst thing we've ever done?
إلا,if
نقدرو نڭولسو هنا أُ نتسناو شي واحد يلقانا,we can sit here and listen to someone talk to us
والاكين كانعقل أنّاها كانت بعيدا علا دار بزاف لواقت,But I understand she was away from home for a long time
عزيزا علييّا لموناضا,I love the past
أنا هنا باش نشوفك حيت ماكانفهمش أش كايوقع ليا,I'm here to see you because I don't understand what's happening to me
لاش جبتي معاك شجرا ل طيّارا?!,What did you bring with you on the plane?
تقدر الطيح,you can take the fall
دووزت واهد نهار مافيه مايتشاف.,I've been driving on a good day.
ماعمرك ماجربتي شي سپورت جديد ?,have you tried a new sport?
علاش?,Why?
ماشاف التا حدّ,I see you are alone
دابا كانضن عندنا كولشي داكشي اللي كانحتاجو باش نحالو هاد لموشكيلا,Now I think we have all the things we need to make this problem
والاكين إمكن خسّك تشتاراك ف هاد ل أنشيطا?,But maybe you're interested in this activity?
"وهههه, ريمايا?","Oh, what?"
واش إمكان تشرحي ليا كيفاش ندير هاد لخادما عافاك?,Can you explain to me how to do this job please?
سبر معايا,I'm sorry
واش عارف إلا كان شي سولد جاي ?,do you know if there's a cold coming?
ديما كاينسا بزطامو,He always has a bath
سيدي,sir
شمن كارت ڭويشت علاش بيتينا نخدمو?,What is the credit card for the house we serve?
والاكين أش كاتقصاد ب شوييا منو?,But what do you mean by a little bit of it?
"عاضيم, أنا فارحانا حيت وضّحنا لقاواعيد أساسييا","Mr. President, I'm glad we've set the basic rules"
ضرب تصاور.,Take pictures.
تقدر تشوف معايا شي پردوييات لشي واحد عندو حاسّاسّييا ?,can you tell me about any of the other people who have sensitivities?
تيليفوني ماكايشدّش الريزو مزيان,my phone doesn't answer the phone well
أش بان ليك ف موكعّاب ولا شي واهد طويل?,What do you think about the difficulty or the long wait?
أُ أشنو كادير من غير هادشي?,And what do you do without it?
طاباق ديالنا لموماياز ليوما هووا دجاج,Our favorite dish today is chicken
واش غانحتاج ديپلوم باش نلقا خدما?,Will I need a diploma to get a job?
فات لحال,it's too late
جرح راسّو ملي كان كيحسّن,He injured his head as he got better
تاقريبان 200 دهس,They're worth 200 dollars
واش خراجتي من توموبيل ديالنا باش تشاد تراين,Did you get out of our car to catch the train?
شحال هادي دابا باش بديتي تاخدهوم?,How long did you start taking them?
طهلّا,it's hot
"هير فلمجرّ اللي علا إدّيك ليمن, دابا نجيب النضادر","The one on your right hand, we'll get the stakes"
ماكانشجّعكش,I didn't encourage you
هادشي تايوقع ل عاداد من الناس هاد ليامات,That's what most people do these days
اللي بان ليك,what's your opinion
فلواقيع هادشي كاملو معتامد علا شكال ديال ندادار,In fact it all depends on the shape of the instrument
مقراج,the garage
ماغاناكولهومش.,I won't eat them.
دارك بعيدا علييّا,You're too far away from me
فوت الزنقا لولا,I'm a first
واش كاتحسّ براسك ماقادّش توسّل ل أهداف اللي عوّلتي عليها?,Do you feel uncomfortable trying to reach your goals?
أُ غدّا غادي نلقاو طريق الرجوع.,And tomorrow we will find the way back.
هادي أوال مرا غادي نتشاف فيها شوييا متواتار,this is the first time I'm going to look at it a little bit more often
ألا كان هادشي اللي كاتقصد,if that's what you mean
دروك,Druk
إمتا كاين لعرس?,when is the wedding?
كتب واحد قاصيدا شيعرييّا,he wrote a poetic poem
كنت كانتساءل,I was wondering
عافاك غير لياد.,Please change hands.
مايمكنش ليا حتّا نبيّن بلي داكشي ماكايوقاعش!,I can't even prove that it's not happening!
عمّرني كليت هامبورڭر,I ate a hamburger
أنا كانحاول نفهم,I'm trying to understand
كايبالّيا خسّنا نڭادّو شي برّاد ت أتاي أُ نسا عليا لخدما,I think we should have some tea and forget to work
كاتلعب الرياضا?,Do you play sports?
كانبغي واليدييّا,I like the idea
هووّا ديما كايصلّي,He always prays
كيمّا قتارحتي,as you opened up
الله إخلف,God is behind
ماكانعرف ندير والو,I don't know what to do
كاتبان صغير,You look young
كيفاش كاتاخود قارارات سعاب ?,How do you get a good pair of shoes?
"واييه, فشكل, تايبان بحالا لموطور خاسر","Yes, it's true, it looks like a lost motorcycle"
شمن ناوع ديال زبدا?,what is the price of butter?
أشمان ديسّير كاتسوب?,What is the recipe for the dish?
"أيه, هادي فيكرا مازيانا.","Yes, that's a good idea."
حتّا أنا,I too
فين خدّام?,Where is the employee?
عندي شلّا ماندير,I have a mandarin salad
هادشي ديما هاكّا.,It's always like this.
جابت شي أحجار زوينا,I brought some beautiful stones
ويكاند,weekends
عيّط ل لبوليس,call the police
"أه, ويسكي, مومتاز.","Yes, whiskey, please."
ساحباك كايبان لييا ماكاينش هنا,I think you don't seem to be here
"واخا, إمكان أنحتاج لتاوضيح","Well, maybe I need to explain"
بشحال?,How much?
"والاكين دابا منين عراف لقووا ديالو, راه تابع سحاباتي حيت هوما بنات","But now that he's had his strength, he's been following my team since he was a girl"
مومتاز,fresh
فين هووّا كتابي?,Where is my book?
نوبتهوم,they are on tour
أنا كانتسنّاها نيت دابا!,I'm waiting for her right now!
كيفاش كايءتر لجو علا لعيشا هنا,how's the weather for living here?
راك عارف مزيان علاش!,You know exactly why!
كاين نيشان,there is a target
لمكتابا سادّا,the book is simple
والاكين كانضن بلي تويل بزاف باش إتقادمو لموسعيفين,But I think it's too late to give his patients a chance
تكتب ف 2010,she writes in 2010
لخدما صعيبا,hard work
توحشت لييام ملي لعوتلا ديال سايف كنتي كاتحسّ بيها ماكاتساليش,I remember when I was in the kitchen I felt like I didn't ask
أنا مغبريبي,I'm a beggar
"خوصوصان سيمانا جايا, محتاجك ديري واحد ل پرزنتاصيون علا لماوضوع اللي عزيز عليك.","Especially next week, you need to give a presentation on the subject you care about."
راهوم أتريقا زوينا باش تعلم فبزّاد فيال لماواديع,They are very good at learning in the media
كانضن غادي نمشي,I think I'm going to go
واش كاتقصاد كاينين 10 ديال لكليان أُلا معطّلين?,Do you mean there are 10 for the kids or the kids?
واش باقي هادشي غابي?,Is that still stupid?
صافي تاحاجا أخرا?,Anything else?
خليني نشوف,Let me see
ماتايمرڭش,It doesn't hurt
بلعاني,I'm in pain
هاني جيت!,Here I am!
والاكين ألا فهمت هادشي غادي إبدا حاساسيا جديدا!,But I understand that it will start a new sensation!
أنا كانتعلّم الشينوييّا,I'm learning Chinese
بغيت شي عاإلا كبيرا فرحانا,I want something more than a big smile
شنو هييّا أحسن طريق?,what is the best course?
هادشي خايب بزف أُ ملي كتعرف هادشي ماكايعاونش أعساب ديالي.,It's very bad and knowing that doesn't help my math.
أُقسم,I swear
بلّاتي نشوف فشكارتي,I'd like to see my friends
منين نتي ف ميريكان?,Where are you from in the US?
سافي أنقتع ل ڭارّو,I'm going to the beach
كانتفهم,I understand
عندي لبشرا دوهنييا,I have a skin rash
نقدرو نبداو نفكّرو أنّانا نبدّلو لقاوانين,we might start thinking about changing the rules
أنا غير ماكانبغيش نبقا زاڭي,I just don't want to stay old
أُ أنا كنت تانضنّ أنّهوم زوينين...,And I thought they were beautiful...
شحال فعمار لأحفاد ديالك?,how old are your grandchildren?
"أنا كانفضّل لبط, لوز شي مرّات كايكون قبيح","I prefer ducks, sometimes the flowers are ugly"
لكلاب سخار زويونين,The dogs are very sweet
غادي نضبّر علا حالوا تاهيا,I'll check the weather
ووو!,Wow!
واش كاتعرفها?,Do you know her?
ماساء لخاير!,It's too bad!
واش دوازتي شي تاجريبا خايبا?,Have you done any bad business?
ل مودرّيب ماراضيش,the driver is sick
"زيد عليها, كايبقا إتبسّل علا صحاباتي","Besides, he keeps talking about his friends"
الريحلا تلغات,The slow is slow
لعانداليب راه ماكايناش بزاف,The butterflies aren't very good
درتها.,I did.
واش غاتجي هاد لعشيا?,Are you going to come this afternoon?
ماعرفتش,I don't know
أش بغيتي تشرب?,What would you like to drink?
لمارحالا اللولا,the first visit
لباطّ مخلوقات صابورا بزاف,the bottom is very soft
واخا تشرح ليا عافاك أش كاتعني ب 'عادي'?,And can you explain to me what you mean by 'normal'?
واش كاتبغي شي واحد?,Would you like one?
داز عندي نهار مفلّس,I've had a busy day
أش كاديري هنا?,What are you doing here?
غلقت,I'm closed
زوينا منك تساوال,You're kind of a question
راه ورّاني كيفاش كاتخدم,He showed me how to work
معامن كايجبك تخرج ?,What time do you have to leave?
وا ناري علا راعد,I'm on fire
كون سبع أُ كولني,be seven and all
هاها,Here it is
هيا لاباس!,That's okay!
مادّيرش الصضاع,I don't teach
واش بصّح,is it true?
كاتبان كاتعراف بزاف عليها,You seem very familiar with her
كاين بنادم بزّاف هنا,There's a lot of people here
واش عندك الصرف,do you have the money
"أنا ناشط بلمعقول هاد الليلا, غاندير شي حفلا ف الدار!","I'm really busy tonight, I'm having a party at home!"
خاسك تسهرب بزاف د لما,You have to be very careful
أيخسنا نرجعو لدار,Maybe we should go home
واحد لقنييات هربو من لخابا,One of the witches escaped from the forest
عندي شويا تلما ألا بيتي.,I have a little trouble getting home.
جيت معا لعاإلا ديالي,I came with my family
واش هادشي غادي إقضي لغاراض?,Is this going to end the war?
كانضن بلي فهمتيني غالات,I think you understand me
ألا كان شي واهد من لفرقا عندو شي حاجة مايڭول,Is there a team that has something to say?
لالّا,well
كنا مدايرين نربحو أيي كورا,We were lucky to win any balls
سلّم علا أإلتك,greet your family
"ماتنساوش, راني عارف ڭاع داكشي ليكانت كاديرو هاد شاريكا هاد عشر سنين ليدازو","Don't forget, I know what you've been doing with this partner for the last ten years"
حاضر,I do
باراكا من لبلابلا.,I'm sorry.
هادشي بساح,that's a shame
"غادي تشوف, غادي دوز ريحلا علا خير, أنا ماتأكاد","You'll see, I'll take a better flight, I'm not sure"
"أيّ حاجا معا لما سخون, واخا أنا ماشي من الناس ديال ناعناع","Whatever the heating, I'm not a fan of the toilet"
أُ ديكسّاع خديت السانسور باش نقسّي,And then I took the sensor to scan
أه أُ بلا سوس,Yes and no sauce
شهار تمنيا,eight months
أداحاك أُسافي... والاكين هوما كايخليوك تجيب باش تقصّر إلا بغيتي,I'm sorry... but they let you bring the curtains if you want
مشا ل مارشي ديال لبال,He walked the marches of the city
هاد السروال ماجاش معايا,those pants don't come with me
"وه, يالاه بداو, فلواقيع, هادو يالاه باديين شوييا...","Oh, yeah, actually, they're a little bit simple..."
كايعجبني نسهر بلّيل,I like to wake up at night
ماعندي مانقول,I don't have anything to say
مابقيتش كانهضر معاه,I don't talk to him anymore
الرملا كانت بيضا,the sand was white
بشحال بعيدا لاڭويرا,far away from the river
فهمتك,I get it
نحيلا,I'm sorry
فين كاين لماطار?,where is the airport?
"زعما, تخالي ياديك لداخال?","Well, you keep your clothes in there?"
غانسافر ل فرانسا,I'm going to travel to France
الزنقا التانيا,The other way
ماعمرو كاياعيت معتل فليل,I don't feel tired at night
نتا هي كاتغير حيت أنا حسن منّك.,You're the one who changes because I'm better than you.
جبت ليك قارعا ديال شراب,I brought you a glass of wine
نهار علا نهار,day after day
شكون غادي نسوول?,Who am I going to ask?
واش كاتهدار اللوغا?,Do you care for the log?
"أه فيكرا مزيانا, والاكين ماعندناش خيما","Yes, it's a good idea, but we don't have a tent"
شي ناس تاقدار تهدار معاهوم بسوهولا?,Can you find someone you can talk to?
إمكان ليا نعتيك شوييا ديال مودادات لإكتيأب,I could give you a little advice on how to prepare
"ماعارفش قداش لغالات ديالك, والاكين إلا بقينا واحلين فهاد لماسعاد بزف ديال لواقت, تقدر تخدام تما.","I don't know how many of your friends are, but if we stay together for a very long time, you can work there."
مول لبار دراياف بزاف,the bar is very expensive
دفل ديك لمسكا! راه عرفتي لقاوانين تلمدراسا!,You're a fish! you've learned the rules of the school!
سيبت تيليفوني,I'm not answering my phone
كيكاتحسّ ليوم?,Are you feeling sick today?
"هاني كانعلمك, غادي نكتّر عليك طالابات.","I'm telling you, I'll make you a list."
كاين راس لماليك.,It's your boss's head.
ولا واش عانداك شي صحاب كايلعبو علا ألات لموسيقيا,Or do you have friends who play musical instruments
قطّعهوم دابا أُ أنا غادي نوجّدهوم ليك.,Cut them now or I'll make them for you.
"ألا عندنا ساباب معقول باش نهضرو معاها, هيا راه ديما مستاعدّا تهضر.","We have a reasonable reason to talk to her, she's always a good one to talk to."
واش هوما بحال بحال?,Is he okay?
أُ نتا?,And you?
هادشي ماكافيش,That's not enough
إمكان خاسني نطلاب ماشروب,Maybe I should order a drink
كانسكون هنا,I'm here
بشحال كاتخلّص لويفي?,How much do you pay for a lift?
فيا,in
ماكانشوفش مزيان,He doesn't look good
ملي كاتمشي تعشا إنا نوع ديال لمكلا كيعجبك ?,"When you go out to dinner, what kind of food do you like?"
ماعندوش أهامّيا,It's not important
كاتمرّضني,It makes me sick
مارحّابش عليك مزيان?,How are you feeling?
أيخاسنا نحاولو نلقاو لماقسورا,We should try to find the injured
"أهلان, يالاه نمشيو نعومو","Hello, let's go for a walk"
ماتّاكلوش,Don't eat
هادشّي ليك,this is for you
لايحفضك,I don't care
ماخسّكش تشراب فشامش,I didn't drink in the sun
سمحت ليك,thank you
بغيت نطّلّق,I want to leave
طبيب ديالي عتاني شي فانيد باش يكالميني ساعا بان ليا ما خدّامش,My doctor gave me a call for an hour because I didn't work
ماكايجيش معايا,He won't come with me
كتاب واحد,one book
شوكران حيت سولتيني والاكين مانقدرش ندير هادشي,Thanks for asking but I can't do this
"لا, أنا مرا...!","No, I'm dead!"
كاين شي ماتحاف قريب مان هنا?,Is there a restaurant nearby?
هوما كايعازفو علا موسيقا ديال راقس فارانسييا زوينا,He plays the music of the great French racer
تطير ڭالس فوق لغوصن,flying the elephant over the water
ديك توموبيلا اللي لهيه راه ديالي,this car is mine
ليلأساف كانت عاطيا منّو ريحت لعرڭ النهار كامل!!,Unfortunately I've been smelling like a scent all day!!
لكليان خلسّ مييتين دولّار,The client lost two hundred dollars
واش كاين عندك شي سولد ليوما ?,Do you have any soup today?
داير بحال شي تعلب,it's a bit of a circle
الطاياران ماخايبش بزّاف!,The birds are not very good!
شف ديالك مرا أُلّا راجل?,Your mouth is all man?
فييّا لحريق ف ضهري,I have a fire in my brain
غادي نعاوناك إلا بغيتي.,I'll help you if you want.
ماعنديش الخوتي,I don't have a knife
أُ شي شويا ديال طرابش.,And a bit of a joke.
كانو نجوم مدورينا و كاتسمع سوات ديال تابيعا,It was the stars around us and you hear the summer suns
بغاني نمشي معاه,I'd love to go with him
هاد لعيالات,this is a family
شريت تريكّو لبارح,I bought a shirt yesterday
كيفاش كاتبقا إجابي?,How do you stay positive?
ڭاع ل أساتيدا غادي يكونو موجودين,"Yes, the students will be there"
هادي واصفا خاصّا.,That's a special description.
"أُ نقدر نجيب شي ديكور, نفّاخات أُ شي لعيبات","And I can bring some decor, some things and some stuff"
مافهمتش,I don't understand
كيندير باش نوصل ل السيفارا ديال لميريكان,I'm trying to get to the American Express
واش بغيتي تهدر علا هادشي?,Do you want to spend on that?
هادشي ماشي مأكاد,That's not true
سميتي ماتهيلد,My name is Mahad
عاتيا مريحا ديال هاداك ربيع لي مقتع,the weather is so comfortable that spring is so hot
حتا حاجا مشيا اللبار ماغادي تخلّيها مامساوباش,Even the bar bar walk won't leave you unattended
بغيتي تفرّج ف تلفازا?,Do you want to watch TV?
جات معاك هاد لكسوا,I came with this dress
منيمتا كانت زويوت لأساسييا كاتعاوان شي حاد?,When was the time when you were primarily a good cook?
يمكن لينا ندويو علا كيفاش ل أخاني ديال سخور ديالنا عمرهوم إتلعو لينا فراسّنا ?,can we talk about how our older brother is getting on our table?
فنيهايا ديال سيمانا إدان,the weekend is fine
دابا نقدرو نقارنو لكافاأ ديال لخوبز لبياد أُ لخوبز لكحال علا لباط,Now we can compare it to the price of hand-bread and sand bread
كان غير كايقمّر,He was just playing
ماشي حتا قريبا,Not even close
كحل أُ بيض?,Salty or eggs?
سير إلا قدرتي,go if you can
فرحت ملي دويت معاك,I'm glad to meet you
كانخاف من الطييّارا,I'm afraid of flying
كاتبان بوڭوص فهاد السروال,You look like a little girl in these pants
مشغول,busy
ديما كانستاعمل الزبدا ف الطياب,I always use butter in cooking
فيهوم,in them
كانتمنّا ليك نهار زوين,I wish you a good day
"لأمر معاقاد عاندي, راه دارت غير لأداب تال دابا سافي","For my own account, I've done other things than just writing"
لكليان قارن لأتمينا مابين بزّاف ديال لماحالات,I've had to compare the two between many cases
فريع راسّ,He's a headache
"السموحات تانبرزطك, والاكين أنا راه مخلوع بصّح","The permits are strict, but I'm really open"
كان خاسّنا نتعدو دخيا علا لماتش,We had to wait for the game
دور عل ليمن,turn right
أمريكانو?,American?
كيفاش كايعجبك تدوز عيد ميلادك,how do you like to celebrate your birthday
واش كاتغروب من ديك الجيها?,Do you miss your arrival?
فين كاين بيتي افاك?,Where is your house?
را خايكون لموت ديال دحك,I'm going to be a laughing toy
لقالام كاين ف لاتروسا,The pencil is in the basket
والاكين أتكون زينا أنّاك تعيش هادشي معا شي شاخص اخار,But it's nice that you live with a different indicator
فيكرا مازيانا!,It's a good idea!
أُ قسم,and department
واش هادشي ماشي فشكل شوييا?,Isn't that a little bit weird?
لعاود حاياون راقي,he is alive and well
داكشي داز واعر,That's so weird
ماضي,past
خاسني ناهضار معاك,I want to talk to you
"واخا, تخايال نهار يوالي سافار لفاضاء تيجاري","Well, imagine a day when I went to a business meeting"
"أنا مامتأكداش طبيب واش موافق عليها, والاكين تاقدر تسولو","I'm not sure the doctor agrees, but you can pay for it."
يامكن ليك تبقا لواقت ليبغيتي ف لحامّام أُ تشراب لبيرّا ديالك,You can stay for as long as you like to eat and drink your beer
غانلقي كاليما,I'll throw the money
واخا هاكّاك كانفيق معطّل,"Well, that's a late night"
لقات لييا واحد لبلاسّا فواحد لكونسرت لحد لي فات,I've had one class at one concert until last
أشناهووا أول ماسدر دخل فهاد لبلاد ?,What was the first teacher to enter this country?
قشّابتو واسعا,the scarf is wide
راه بحال شبكا ديال شارلوتّ,It's like Charlotte's net
تلقنا,We've been waiting
واش مومكين تمشي علا قابلي أُتلقا أحسان سحّار بقلّ من مليار إوروس?,Can you go to meet the best magicians for less than a billion euros?
لايسعدصّاباح,I'm not happy
هادشي كايتلّف.,That's a shame.
لموش بقا تابع لفار,I don't have a haircut
6 دولّار ل الساعا.,six dollars an hour.
غبر,go to the hospital
قشابتو واسعا,I've had a lot of trouble
شحال تخاتر تاخايتعتل,how much do you think you should eat
واش لبيت كبير ليكوم بزوج,Is the house big enough for a couple?
مامتءكدش ميا ف ل ميا علا هادش,I don't trust the water in the water
هدرا خاويا,the water is clear
شهار,monthly
واش غادي تمشي لتما?,Are you going to the gym?
أنتحول,I turn
ماعمرك تخايلتي بلي حاياوانات ديالنا كيكونو كيديرو حفلات سيريا فاش ماكانكونوش ?,Have you ever imagined that our animals were organizing a series of parties that they weren't?
لبورو مروّن,the brown
بشحال هادشي?,how much is this?
"أيه, كانركب ف طييارا بزّاف.","Yes, I'm very much on a plane."
إمكن شي واهد فيهوم,Maybe some of them
أه كانضنّ عناداك صاح.,"Yeah, I think you're a friend."
كيندير ندوز ل شاريع موهامد لخاميس,I'm going to the mosh street on Thursday
أغاني كاريتيا أُلغنا ديالي لكاريتي,Carry songs are my favorite carry song
عافاك دير راسّك بحالا فداركوم,please turn your head in the darkroom
أش كايعجبك تمشي لحافالات ولا تبقا فدار ?,do you like going parties or staying at home?
أنا بسّاه كانتسانا زييارا ديالو,I'm just waiting for his visit
تحمّل مسأولييّتك,Take your responsibility
واش هادا السي موهامد?,Is that Mr. Mohamed?
وا تكرفصت بلمعقول باش نفهم أش خسّني ندير,And I've been brainy to figure out what I'm supposed to do
إمكانك تحات لمونتو فلعلاق تما.,You can call the phone at the meeting.
ماعندك فين تهرب,You don't have a place to run
اندنا,we are
ڭولّيا,tell me
متيحان ف لفاصل لاخار,I'm in the back room
أش بان ليك نديرو حيسّاسّ نتعلمو فيهوم شتيح مجموعين,what if we have a sense of learning in which to share them together
زهار,a flower
علاش عتيتيها ل لوبنا ڭبيلا,why did you call her a girl?
أنا مافراسي والو,I'm in the chair
كيدايرا مراتك?,How often do you do?
"أه, واسخون بزّاف !","Oh, it's very hot!"
نسا عليك الدراري راه مشا عليهوم لحال,Forget the dryer he's going to have to deal with
أش وقع?,What happened?
كاندوّز بزّاف ديال لوقت كانلعب,I spend a lot of time playing
كيفاش كاتوازن بين لخدما و حياتك ?,how do you balance work and life?
أه علاش لا,"Yes, why not"
لحفلا خادار فلمادراسّا,The party is in the middle of the night
واش كاتعرفي ناس إمكن تهضري معاهوم بسوهولا,Do you know people you can talk to easily?
خديت ليوما كونڭé,I took a day off
عطاني واحد لورقا,He gave me a piece of paper
كاين واحد رستورا تالياني فلمدينا واعر,There is a restaurant in our village and it is very expensive
دوز الطوفولا ديالو ف إفريقيا,his father's grave is in Africa
نعامالالّا,I'm doing it
هادي تلت سنين و هووا فلماخريب,He's been in the game for three years
"ل ميني جوپ أُ سبّاط ديال الصيف, ف شهر 4, راه كاتغامري أُ صافي.","The summer weekend, April 4, is a very busy weekend."
"اللا اللا, ماباغيش نمشي بوحدي, هادشي ماعندو تا معنا.","No, I don't want to go alone, that's all there is to it."
ماعندكش ماشاكيل فل هضرا معاهوم?,Don't you have a problem with the farm?
بقا فيا,I'm still here
أنا مقتانعا بلي ديكرايات ديالنا هوما كانز ديالنا,I'm convinced that our decrees are our own
خارج معا صحابي,out with my friends
بلاما التبوهل علييّا,I'm sorry
يالاه!,Oh!
هادي فيكرا مزيانا,That's a good idea
مانقدرش نخونك,I can't lie to you
نقدر نحل شرجم ?,Can I open the window?
"ماشي كانلعب, راه هاكّا كايكون لعيلاج أنّافسي.","I don't play, it's just a way to heal my breath."
يالّاه نضربو تسركيلا,Let's hit the circle
كاينا بلاسا!,There's a place!
لبلايس ديال لخدما تاهوما خاسهوم إكون فيهوم دوشات أُ بيوتا ديال تبدال,The workplace is usually equipped with showers and changing rooms
شنو درت ليك?,What did you do?
بغيت نخروج من تدريس ديال رياديات أُنبدا شطيح لواقت كولّو,I want to quit teaching directors and start working full time
هاد الدوا حلو,this medicine is delicious
كيمّا كانڭولو لكليان ديما عاندو لحاق,"As we do, the clients always have a problem"
"أيخاسني نعتاراف, ملي كاندوق لمكلا لي كانقادموها, كانتساءل...","I'm having trouble recognizing, when I'm at the table, I'm asking..."
واش عنداك شي فيكرا علا فين غادي?,Do you have any idea where to go?
ماعرفتش سميتو,I don't know his name
نتا كاتبيع أُتشري ف أشمن ناوع ديال نيفط?,Do you sell or buy at the best of the best of the best?
ولا پولو?,Or money?
حليب لماعز,goat's milk
كايعجبك تمشي لمتحاف ?,do you like going to the museum?
مشا يشري لحوايج,He doesn't buy furniture
فيناهيا لبصلا?,Where is the pool?
عاندها,she has
هوما غزالين أُكايبانو زوينين فل مولصاقات,They are very nice and beautiful in the shops
بدلت راإي ديالي,I changed my mind
غادي نجيبو غير سكالّوپس.,We'll get the scalopes.
وقت كامل,full time
مومكين نعطي شي حاجا باش نخافّاف ألام ديالك,Maybe I could give you something to ease your pain
هووّا بغا يمشي ل إفريقيا,He's going to Africa
أنا كانفاكار,I remember
أشنو كاتخاطاط دير ف عوطلا ديالك?,What do you do at your hotel?
هووّا كبير علييّا,He's too old for me
جات معاك!,I'm with you!
ماكاين إشكال,It's okay
راهوم موديرين ديال ل أقسام لوخرا,They are the most popular department
من غير لفاراح,no fun
واش جاك لعطش?,Are you thirsty?
غادي نجارّب نتفاكّار منين كونت سغير,I'll try to remember when I was younger
مومكين يكون حسن,Maybe it's okay
لجوو سخون,the water is hot
والاكين خاسهوم يرادو لبال من لفكارن,But they're looking for a way to get the money from the bank
رجليه صغار,His legs are small
أش من ماسراحييا غادي تلعاب?,Which team will you play?
أشنو غادي الدير هاد الليلا?,What are you doing tonight?
كيكايعجبك دوز لعشييا ?,do you like the right way for dinner?
لبولا صفرا,the pole is yellow
كيدازت الدويرا لبارح?,Did you order the ticket yesterday?
غايخسّك تعرف لكوزينا مزيان أُلّا غاتعطّلنا كاملين,You'd better know our kitchen is good or we'll be completely out of it
كايعجبوني لموغامارات,I like adventure
كيبان بحال شي دوب معا هادوك لحوايج,It looks like a dog with these things
سميّتي إستهر,My name is Shara
كيفاش كاتبقاو عايشي حايات رومانسييا مورا سينين و مينين,how do they live a romantic life after a long and interesting life
"كيدرتي معا هاداك لتاب لي كنتي كاتقراه, قريتيه ?","you did with that book you were reading, did you read it?"
"سمعي, كانضن أنّاهو خاصّ تفكري أشنو بغيتي من عند طبيب نفسي ديالك.","Look, I think it's important to think about what you want from your psychiatrist."
والاكين ماكانخدمش مزيان فلخر ت سيمانا,But it doesn't work well last week
أنا مقتانع بلي إلا دربتها ب نعسّا ڭاع لماشاكيل لي عندي أيمشيو,"I'm convinced that if I taught her to sleep well, I'd have to go to the gym"
الزبيب أُ مشماش يابسّ هوما أعازّ حاجة عندي,the oil and the dry spices are my favorite things
لڭارّو تاهوا?,The carrot is gone?
كنت عارف,I knew
يالاه رجاعت من لعوتلا ديالي,I'm back from my apartment
ماعمّرو دوا بلعربيا,No drugs in Arabic
"طابعان, غادي نجيب لبيرا","Of course, I'll bring the beer"
كيما بلانيت,how is the planet
مزيانا فيك,good for you
غانمشي لل قهوا,I'm going to the cafe
لي وقع وقع,I've fallen
