darija,tgt,src
ماكرهتش شي نهار نزور جاپون,I hate a day visiting Japan,كرهت يوما بزيارة لليابان
كولّا شهر,every month,كل شهر
شحال ف عومرك?,How old are you?,شحال عندك من سنة؟
كيمّا كان لحال,as it was,كمان كان
واش شريتي الپارطما?,Did you buy the part?,واش خديت الدور؟
تايبالّيا حنا كولّنا مسترسّيين و فنفس لوقت كولّنا تاتعجبنا.,Of course we're all very passionate and at the same time we all like it.,بالطبع كلنا متحمسين جداً و في نفس الوقت كلنا عجبنا.
ألا مابيتيش تعتيه ياكول,Don't you ever eat?,واش ماكلتش قط؟
واش كادان بلي هيجرات لبات كانت بسباب عاواميل سوسيو قتيصاديا?,Do you think the migration of the children was due to social and political factors?,واش كتاظن بلي هجرت الأطفال كانت بسبب عوامل اجتماعية وسياسية؟
إما حلوا ديال ليمون ولا أناناس,It's either lemon or pineapple juice,إما عصير الليمون أو عصير الأناناس
"أيه, عندك الصح.","Yes, you're right.",نعم، عندك الحق.
هادي بيدايا مزيانا,It's a good start,هادي بداية مزيانة
السموحات,the permits,التصاريح
أُلا مومكين ألا.,Or maybe it is.,و لعلنا هادا هو.
لهاجّا,the weather,الطقس
شاف غوروب الشامس,He saw the sunset yesterday,شاف الغروب البارحة
أُ فين غادي تعيش دابا?,And where will you live now?,و فين غادي تعيش دابا؟
عنداك شي أفكار?,do you have any ideas?,واش عندك شي أفكار؟
كاندن كاينين فكلوزينا,They're in the closet,راهوم فالدولاب
أنا فارحان حيت دوزتي نهار زوين,I'm glad you had a good day,أنا فرحان بلي كان يومك مزيان
واش عندك الصرف ديال 200 دهس?,Do you have a change of 200?,واش عندك شي فكة ديال 200 دولار؟
إمكان خاسنا شي أتاي بجوجنا أُ هادشي ياقدر يعاون لعالاقا ديالنا,we could have a tea with our family and it might help our health,يمكن لينا نشربو الشاي مع العائلة و يمكن ليه يوفق صحتنا
سدّ تلقا ماتحلّ,the cat is dead,القطة ماتت
كاتعجبني ل أُپرا,I like opera,كَنْبْغِي الأوبرا
واش كاتضان بيلا خاسنا نرجعو?,Do you think we should go back?,واش كتظن بلي خاصنا نرجعو؟
أُ من جيهتك?,And from your side?,و من جهتك؟
أنا متواضع بزّاف,I'm very humble,أنا متواضع جدا
واش شافتي بلاصا فين نتخبّاو قريبا?,Have you seen the place we cook nearby?,واش شفتو المكان اللي كننطبخ فيه قريبين؟
وا نادي,the club,النادي
"أودي, تيليفوني مخدّامش فهاد لبواطا تلحبس!","Oh, my phone is not working in this locked room!",الهاتف ديالي ما كايعملش فهاد الغرفة المقفلة!
"بلموناسابا, واش عانداك تيليفون?","In the meantime, do you have a phone?",وبالمناسبة، واش عندك تليفون؟
أنا مامتءكّدش,I'm not sure,ماشي متأكد
"لماتش تشوف فيه لقليب, جري و لاعب جاماعي","Don't look at him as a kid, running back and college player",ما تلقاشو كطفل، لاعب و لاعب كليلي
أشناهوما?,What are they?,شنو هادي؟
كايعجبني الصوط ديال لمّاج,I like the magic sauce,كايعجبني الصلصة السحرية
"لكلب ديالي مريض, زيد عليها عندي بوجعران فلپارتما!","My dog is sick, and I have to go back to the park!",الكلب ديالي مريض، و خاصني نرجع للجنينة!
"إوا جازيرا تويلا ل سيّدا, أُ غادي نقلّب علا صاسها أُ ضانيل, ماتحاركوش","If it's a gift to the lady, and I'll be on her shoulders and legs, don't burn",إِلَا كَانْتْ هِيَ هِبَة لْلسّْيِّدَة، وْأَنَا غَنْكُونْ عْلَى كْتَافْهَا وْسْيَاقْهَا، مَا تْحْرَقْشْ
لكورنر كانت فورسّسا باش يماركيو,The corner was a chance to make a mark,كان الركن فرصة باش نصيبو علامة
راك فطّريق صحيح,You're on the right path,انت فالطريق الصحيح
تاقدار تڭوليا لييا كتار?,Can you tell me a few words?,تقدر تقول لي شوية ديال الكلمات؟
أنا شاخص إجتيماعي,I am social,أنا اجتماعي
"والاكين ملي كايتعالاق لأمار بأغنيا ديال لعاسافير, أنا كانبغي صاوت ديال شاحرور سافيق","But when I'm talking about the passenger's song, I want the sound of a beautiful voice",و لكن منين نتكلم عن أغنية الركاب، بغيت صوت صوت جميل
كانبغي نشطح وقتما سمعت الشعبي,I want to get up when I hear the people,بغيت ننهض منين سمع الناس
"إلا كان خاسنا نبقاو هنا كتر, يمكن ليك تخدم","If we have to stay longer, you can serve",إيلا كان لازم نبقى فما زيد، تقدر تخدم
موحال,impossible,مستحيل
واش مصادعاك?,Is it your fault?,واش هادا غلطك؟
فوتني عليك,I miss you,كنشتاق ليك
نشوفوك!,See you!,نشوفك!
"أياه, داروري غادي إكون شي حد تماك","Yes, I think there's going to be someone there",نعم، كايبان لي كاين شي واحد
ووو,wow,واو
تسانا....,Thank you...,شكراً ليكم.
جربت وسفا جديدا لعشا,I tried a new way to eat dinner,جربت طريقة جديدة للعشاء
كايبان بلي وصالنا لتاريق مسدود,it looks like we've reached a deadline,كايبان بلي وصلنا لحد نهار
واش بغيتي حافلا علا برّا حيت طاقس زوين بزاف,Do you want to go outdoors because the beach is so beautiful,واش بغيتي تخرج لخارج؟ حيت الشاطئ زوين بزاف
أنا إنسان موتادايّين,I'm a very good person,أنا شخص مزيان بزاف
طالعا ليا لقردا,I'm getting a card,غادي ناخد بطاقة
لأيّام لعادييّا,normal days,أيام عادية
إدان أنا هووا لي كايعطي الناساإح.,I'm the one who gives people a treat.,أنا اللي كايعطي الناس شي شي شي.
"سباح, معا تمانيا أُ خامسا ورابعين","Saturday, at eight and fifty-four",السبت، الساعة التمنية و ربعة وخمسين
واش تقدر,can you,واش يمكن ليك
عقلتي ملي كان كيحسابنا بلي لحايات ديال ناسّ كبار ناديا,I remember when we thought that the lives of the elderly people were really bad,تذكرت لما كنظن بلي حياة المسنين كانت مزرية.
عندي 32,I'm 32,أنا عندى 32
أن ماشغول سابت,that's not working,هادشي ماخدامش
لماكلا مابنيناش,the food is not good,الأكل ماشي زوين
أه فهمت دابا!,"Yes, I get it!",نعم، فهمت!
كتب علييّا ماقال,he wrote me a letter,كتب ليا رسالة
خانّي,betray me,خدعني
نقادرو نتماتعو بيهوم معا كاس ولا جوج ديال أتاي,We can make them with a cup or two teas,يمكن لينا نصنعهما مع كاس أو جوج ديال الشاي
غادي نواجاد طالاب,We'll find a customer,غادي نلقا زبون
كايعاود كولّشي,Everything is going back,كلشي غادي يرجع
بغيت نفيق بكري,I want to wake up early,بغيت نتفيق باكرا
أنا ياهودي,I'm a Jew,أنا يهودي
شحال من لوغا كاتهضر?,how many logos do you use?,شحال من لوغو كتنستخدم؟
فكّر ف راصك,Think about yourself,فكر فيك
بغيت نمشي لصّحرا,I want to go to the desert,بغيت نمشي لصحراء
فايقكيني معا سابعا عافاك,"I'll wake up at seven, please.",غادي نتيقظ فالسبعة، عافاك.
كون غير تسكت شوييّا,I'm a little quiet,أنا هادئ شوية
إمكن تشوف ف تيليفون ديالك.,You can check on your phone.,تقدر تتحقق من هاتفك.
ماكايغسلش ل الماعن,He doesn't wash the dishes,ما غيشفوش الأطباق
"بلعاكس, يالاه داقت غير دابا لقاهوا ديالك لبايدا.","In fact, it's just a matter of getting your coffee ready.",في الحقيقة، هاد الشي غي يتعلق بالقهوة ديالك.
ماكاينش منّاش تخاف,you're not afraid,ماكنوش خائف
وايلي!,What a shame!,شحال من حرج!
ماعندي حتّا شي راإي علا لمووضوع,I don't even have a say in the subject,ماعنديش حتى كلمة فالموضوع
أيخسو إكون فلغارب!,I wish I was in the west!,كانتمنى كانكون فالغرب!
باسه تاتحاس?,Are you still sleeping?,واش مازلت نايم؟
واش وصلك ل إمايل ديالي?,did you get my email?,واش وصلك ايميل ديالي؟
"قسادت عادي ل شيپس, سماح لييا","I'm just a regular shopper, sorry",أنا مجرد زبون عادي، آسف
أُ أش بالّيك نمشيو ل سينما?,And what do you think about going to the cinema?,و اشنو كايضنوك باش نمشيو لسينما؟
أنا فايلاسوف,I'm a philosopher,أنا فلاسفة
لخاوف من لفاشال?,Fear of failure?,خايف من الفشل؟
لباقيي منّا ماكايعارفوهومش مزيان,the rest of us don't know them very well,باقينا ما نعرفهمش بزاف
بهاكا ماغاديش إجيني جوع ڭاع,That won't make me hungry,هادشي ماغاديش يجعليني جوعان
"غير تكون فوق سحاب, كايكون كولشي هوا هاداك","If you're above the sky, it's all about you",إيلا كنت فوق السماء، كايكون كلشي حاكم عليك
سوكار?,Soccer?,كرة القدم؟
فيناهوا?,Where is he?,فين هو؟
كانسجّل أُديو,I'm recording audio,أنا كايسجل الصوت
شويا أُنجي,a little more interesting,مزيان شوية
ماخصّكش تڭول هادشي,It's not your business to say that,ماشي واجبك تقول هاد الشي
تبغي تڭولسّ ف شي طبلا أُ نجيب ليك لعاصير ديال ليمون?,Would you like to go to a bar and get a lemon juice?,واش تبغي تمشي لبار و تاخو عصير الليمون؟
كايجيو لحامام من باعد أُ كاياكلو لفتات ديال لخوبز ليكايبقا ف جانب ديال لواد,They come to the bathroom from behind and eat the breadcrumbs that remain on the side of the table,كايجيو ل الحمام من الخلف ويكلو الفطائر اللي بقا على الطاولة
هوا كايعطي فيكرا علا شنو بضّبط كايعني كتاب,He gives an idea of exactly what a book is meant,ويعطيك فكرة عما كايعني الكتاب بالضبط
شكون غادي تستاقبال?,Who are you going to wait for?,شكون غادي تتاخر؟
غادي نمشيو لمدينا غدا,we'll go to our city tomorrow,غادي نمشيو لبلادنا غدا
والاكين غانجاوب عليهوم فل أوقات ت لخدما,But I'll call them during work hours,و لكن غادي نتصل بيهم فالساعات ديال العمل
لخدما مزيانا,good work,عمل مزيان
بغيتك الطلاقا معا ماما,I want you to stay with my mom,بغيت تبقى مع أمي
أشمن ناوع ديال ڭين عانداك?,what kind of wine do you have?,اشنو النبيذ اللي عندك؟
شنو كادن أكبار إنجاز درتيه ف حياتك ?,what is your biggest achievement ever?,اشنو هو اكبر إنجاز عندك؟
ماكانحملش طباصل ديال پلاستيك,I don't carry plastic shoes,ماكانلبسش صباط بلاستيكي
جامعا,Friday,الجمعة
مايبقاش فيك لحال!,Don't worry!,ما تخافش!
كايعجبني ندوق حوايج جداد,I like to make new toys,كَنْبْغِي نْصْنَعْ الدُوَارْ الجّْدِيدَة.
أشمن مدراسا لاش كايمشي?,What school is he going to?,فاشي مدرسة غادي يذهب؟
"أه, فبزاف ديال لواقت","Yes, in a lot of time",نعم، ف فترة طويلة
كاين بزاف من لقادا ديالنا كايعانيو من لغولد أُ روق علا دروج موستاعارا ديالنا,There are many of our clients who suffer from hunger and pain in our lives,كاينين بزاف دالموكلين ديالنا الللي كايعانيو من الجوع و الألم فالحياة ديالنا
هادي قيصّا قديما,It's an old story,هادي قصة قديمة
كان كايغسل لولادو,He was cleaning his kids,كان غسيل الاطفال ديالو
"شي بواطا ديال شوكلات ب لحليب, أُ لجاراإد ديال نهار لحاد","Some chocolate with milk, and a day's cake",شي شوكولاتة ولبن، وشي كيكة ليوم
مودّا هادي ملّي ضربنا طريق,It's been a while since we've been on the road,مُدَّة طايرة مَا تّْسَافْرْنَاش فالطرِيق
ماعنديش ساحبتي,I don't have a girlfriend,ماعنديش خليلة
ماعنديش حتا فيكرا علا ليكادوي عليه,I don't have any idea what you're talking about,ماعنديش أي فكرة عما كتاكلمني بيه.
نديرو شي كوييسّ ديال أتاي نسخنو بيه!,We're going to have a hot tea party!,غادي نحضروا حفلة ديال الشاي الساخن!
تيليفوني ماخدّامش,My phone doesn't work,تلفوني ماخدامش
هاهوما واجدين ليك دابا أ شف.,They're good for you right now.,هادي للي فايدة ليك دابا.
هادا لغالاط التاني لي درتي ليوما أُ راه تعطّلتي علا لخدما.,That's the second mistake I made today and you're late for work.,هادا هو الخطأ التاني اللي كرتو اليوم و انت فاتت لليوم.
واش راجلك تاهوا من خونيفرا?,Did your husband come from a family?,واش كان زوجك من عائلة؟
راه خايف عليك,He's scared of you,كايخاف منك.
"صالام, أيه ليوما لجوو زوين","Hello, how lovely today",مرحبا، شحال من يوم جميل
صاندوق كايعتاماد عليه.,The box is attached to it.,الصندوق ملحق به.
كانخدم بلّيل,I work at night,كَنْخْدَم فالليل
"أييه, تلاقيت معا أمينا فاش كنت جاي, كاتبان اللاه يعمّرها دار","Yes, I met Amy when I was coming, she seems to be getting home",نعم، قابلت ايمي منين كنت جاي، كايبانو غادي لدارها
"مبرّع, لايحفدك","Good, not your grandfather",مزيان، ماشي جده ديالك
كيدايرا لقرايا فهاد لبلاد ?,what's the mood of this country?,اشنو هو المزاج د هاد البلاد؟
سماح ليا,excuse me,سمح ليا
شوف الفيه,Look at the mouth,شوف ف فمها
اللاه كبير,God is great,الله كبيرا
حدا لواد غاتكون لقاديا امينا كتر,the ice will be more safe,الجليد غادي يكون أكتر أمان
لمصلاحتي?,my appointment?,التعيين ديالي؟
كاتعجبني اللوغا لكورييّا,I like Korean music,كايعجبني الموسيقى الكورية
كانديرو شي واجبات خفيفا زوينا ف لبار,I'm doing some nice snacks at the bar,أنا كاتعمل شي وجبات خفيفة في البار
"أيه, كاينا","Yes, there was",نعم، كان كاين
كاتكب فلجورنال,He is sitting in the journal,راه جالسا فالمجلة
"جيب لييا قاهوا, عافاك!","Bring me coffee, please!",جيب ليا القهوة، عافاك!
ماقادرش تاخود شوييا ديال لواقت تفكار فيه,I can't take any time to think about it,ماكانديش الوقت باش نفكر فيه
والاكين غادي نحاوال ندير لقتيراح ديالك,But I'll try to make your suggestion,و لكن أنا غادير نحاول نقوم بنصيحتك
ماعنديش شك,I have no doubt,ماعندي شك
هوما كايسيطرو كتر علا لاخرين,They are more in control of others,كايسيطروا على الآخرين بزاف
سالاموعلايكوم,Hello,مرحبا
طبيب دووز ليا ديك سيمانا أُ ڭاليا راني صحيح فصيح.,The doctor did it this week and I'm really happy.,الدكتور عملو هاد الاسبوع و أنا فرحان بزاف.
لحوب كايرجعنا عميين,Love makes us blind,الحب كايجعلنا عمائن
كاتغنّي بحال شي مالاك,sing like a king,غنيو بلي راجا
تقادا ليا لخوبز أُ مشا لحال.,She led me to the bread and walked away.,قادتني للفطيرة و مشيت.
"غادي يكون, كانواعداك","It will be, I promise you",غاديكون، كَنْعِدّْك.
عندي ماشاكيل فلخدما,I have problems at work,عندي مشاكل فالعمل
ماكرهتش كون كنت نقدر نمتاسّ لماعلومات ديال شي كتاب خي بموجاراد مانقيسّو,I don't like being able to get the information from a book with a high price tag,ماكنتش عجبني نقدر نلقى المعلومات من كتاب بثمن كبير
هير بغيت نعرف,I want to know,بغيت نعرف
مالقيتش فين نپّاركي,I can't find a place to park,ماكانقدرش نلقى بلاصة للوقوف
صحابني بيلا نتا مقسّح فڭاع لبلايس,"My friend, you're a tough guy at the beach",صاحبي، انت رجل قاسي فالشاطئ
سهيت,I'm ready,أنا مستعد
واش نقدر نقسّم تامان نسّ نخلسو بكارتا و نسّ لاخور كاسه,can I swear that I'll have a card and a cup of coffee,واش يمكن لي نقسم بلي غادي يكون عندي بطاقة وكاس من القهوة
"واخا, مايمكنش تزيد تكفّسّ عليا لقاديا كتر من هاكّا, أُ مامزيانش لكلب يبقا ف الدار نهار كامل!","Well, I can't be more concerned with dogs than this, and it's not a good idea for a dog to stay at home all day!",حَسَن، ماكانش ممكن نْكُون مهتم بلكلاب أكتر من هادا، و ماكانش فكرة جيدة للكلب يْبْقى فالمنزل اليوم كامل!
أُ ماكايناش عالام كبير من لإهتيمام,And there's not a lot of interest,و ماكاينش بزاف دالمهتمومين
بغيت نعراف أش كاين?,I want to know what's wrong?,بغيت نعرف شنو اللي غلط؟
شحال كاتشدّ ف الصالير?,how much do you pay in the gym?,شحال كايدي في الصالة الرياضية؟
"واخا أمولاي, ماكاينش لموشكيل.","Well, it's not a problem.",واخا، ماشي مشكلة.
خدا دوش سخون,take a hot shower,خذ دوش سخون
سيادنا لمشاش لي كاتشراب لكوڭناك,our lord didn't even drink to your family,حتى اللورد ديالنا ما شربش على عائلتك
مابغيتش نخاسارها,I don't want to lose it,ما بغيتش نخسره
هادا ماشي قالام,That's not a problem,هادي ماشي مشكلة
كان نهاري مكالمي,It was my caller day,كان نهار المكالمة ديالي
والاكين لمولاحاضات ديالو ديما مبرّرين.,But his exercises are always justified.,و لكن التدريبات ديالو دايما مبررة.
وا علا سهد كاين ليوما,and the elevator is on today,و المصعد غادي يفتح اليوم
كانترعّد,I'm scared,أنا خايف
واش بغيتي وهيسكي?,Do you want some scotch?,واش تبغي شوية دسكوتش؟
أنا كانطير بل فرحا,I'm really excited,أنا متحمسة بزاف
عندي ماڭول ليك,I have to tell you,خاصني نقول ليك
"هادا حلو, والاكين كانفاضال لقاهوا","It's sweet, but I prefer coffee",هاد الشي حلو، ولكنني كنفضل القهوة
سغيكّرين,I'll be watching,غادي نراقب
إمكان عنداك حاساسيا من شاعار ديال لحاياوانات حتا هوا.,You may have a sense of animal poison too.,يمكن ليك تحس بالسم الحيواني.
ماكرهتش كون كانت شي تاريقا تهرب من لمسأولييات ملي تكبر و تبقا خير ناعسّ,I hate that it's a bit of a distraction to get older and stay asleep,كرهت كون هاد الشي كايشحو الاهتمام باش يكبروا و يخلدو نايمين
ڭاهدي ناخاد شويا أخور إلا بغيتي,I'll have a little more if you want,غادي يكون عندي شوية اخرى إيلا بغيت
هاهووّا هنا,He's here,هوه هنا
"لحد اللي فات, مشيت اللمدينا و شريت جلّابا","Until yesterday, I went to the gym and bought a dress",حتى البارحة، مشيت ل الصالة الرياضية واشتريت فستان
"ماشي موشكيل, ليكاين هووا هير مابغيت ندير تاحاجا","It's not a problem, but it's the one I want to do something",مَاشي مشكلة، بلحاق هاد الشي اللي بغيت ندير شي حاجة بيه.
"أُه, بصّح, طابعان","Oh, yeah, two things",اه، نعم، شي حاجتين
أش بان ليك فلموبادارا ديال لأكل السيحي لي داخلا فيها لحوكوما?,what do you think of the restaurant that is in the government?,شنو رأيك فالمطعم اللي فالحكومة؟
فوتها عليك,I miss you,كنشتاق ليك
قبل ماتكمّل,before it's finished,قبل ما يخلص
أنا بحال لويس ف أطفال لجانّا,I'm like a child in a room,كايبانني كالطفل ف الغرفة
ماديرش فبالك سافي سمحت ليك,"I'm sorry, I'm sorry",أنا آسف، أنا آسف
فايت درت هادش,I've seen that,شفت هادشي
مشا ب لپّيكالا ل خدما,he went to work on a laptop,مشى للعمل على الكمبيوتر المحمول
واش نتا ماتءكاد بلي كانت هيا?,Do you think it was her?,واش كاتضن بلي كانت هي؟
بغيتيني نحبّ لواليدا ديالي?,Do you want me to love my parents?,واش بغيتي نحبو والداي؟
واخا هادشي زوين,It's beautiful,هادا جميله
بغيت أتاي,I want tea,بغيت شاي
عشيرتها سيفتات ليها وحاد لكادو من الجاپون,Her daughter is a gift from Japan,بنتها هدية من اليابان
والاكين إمكن شوييا ديال شيپس أيكونو مزيانين,But maybe some of the chips are good,بلحاق يمكن لبعض الرقائق تكون مزيانة
خانجبد واحد لكسوا كنت مخبياها لشي ليلا,I'll have a dress I've been hiding for the night,غادير يكون عندي فستان خفيتو لليلة
كان كايهدار معا ساحبو أُ هووا كايتمشا معا كلبو,He was playing with his cat and he was walking with his dog,كَانْ كَيْلْعَبْ مْعَ الْبَطْلْ دْيَالُه وْكَيْمْشِي مْعَ الْكْلَابْ دْيَالُه
عندي قتيراح.,I have a bathroom.,عندي حمام.
هادشي مودهيش!,That's not cool!,هادا ماشي هادي!
ماعندنا التا طاريقا باش نتواسلو معا شي حد,we don't have any way to talk to anyone,ماعندنا حتا طريقة نتكلمو بيها مع أحدا
"بسّاح, معا هاد شتا ديال هاد صباح, لرض مغييسّا.","Of course, at this time this morning, it's a special treat.",بالطبع، ف هاد الساعة دالصباح، هادي مزحة خاصة.
برهوش,quietly,بتهدئة
"واخا, سمحليا علا ڭاع هاد سترسّ","Well, sorry about the noise",واخا، سمح ليا على هاد الضوضاء
معا لحليب?,With milk?,مع الحليب؟
تمنيا ت لكتوبا,I hope you're reading the book,كانتمنى تكون قرا الكتاب
واخا غادي نجيب ليك شرابك,I'll get you a drink,غادي نجيبه ليك شي حاجة تشربها.
واش عرفتي فين نقدر ناخود تاشي?,Do you know where I can get a tassi?,واش كتعرف فين نقدر نحصل على تاسي؟
حاجا طابيعييّا,something natural,شي حاجة طبيعية
ماكايعجبنيش,I don't like it,ماعجبنيش
"بساح ماريون ديما كانت لبانت سغيرا ديال كولشي... بحال أُليڤر ديالك, ياك?","Marion's father always seemed to be a bit of a bit of a... like your Oliver, right?",بدى بوالد ماريون دائماً كيتشبه أوليفر ديالك، ياك؟
واش مومكين تڭادّ هادي?,Can you just call this?,واش تقدر تتصل بهاد الشي؟
إمتا جيتي لاهنا?,When did you come here?,وقتاش جيت لهنا؟
السفلي,the bottom,القاع
خدامت ف بزاف ديال لبلايص,she worked in many places,عملت فبزاف دالأماكن
كانهضرو علا السياسا بزّاف هنا.,We talk a lot about politics here.,كَنْتّْكَلّْمُو بْالكَثْرْ فْالْبِلَاسَة.
"تسانا, غادي نقلاب فلحاقيبا ديالي","Hi, I'll take my bag",مرحبا، غادي ناخد صاكي
مشينا?,What?,شنو؟
"نشوفوك من دابا سيمانا, نتمنّا لخدما ديالك تكون مزيانا!","See you later this week, I hope your work is good!",اشوفك من بعد هاد الاسبوع، نتمنى تكون أعمالك مزيانة!
لكليان كانو مبرزطين ليا راسّي لوقت كولّو.,The clients were all right with me all the time.,الزبائن كَانو بخير معايا فكل الوقت.
ماعجبنيش.,I don't like it.,ماعجبنيش.
لميحفاضا ديالو كاتبان تقيلا,His bed looks like a small one,السرير ديالو كايبان صغير.
شنو أحسّن سيت عندك ?,what's your favorite city?,شنو هي المدينة المفضلة ديالك؟
ماحدّي كانتحرّك كايوالي شويا,I'm not moving around a bit,ماشي غادي نتحرك شوية
واش مشا عليك الطوبيس?,Did you go on the bus?,واش ركبت الحافلة؟
إمتا تايحال سبيتار عافاك?,"When do you turn up the hospital, please?",وقتاش غادي تديرو لسبيطار، عافاك؟
باش نبردو علا راسنا ياك?,how about we start our own?,شنو رأيكم نبدؤو بواحد؟
تقام علييّا غالي,she's very expensive,هاد الشي غالي بزاف.
أنا كانقتارح تحبس دابا,I suggest you hang up now,كايقترح عليك تقطع الخط دابا
أُ ماتهازش لهامّ ل لحوايج,And don't worry about your clothes,و ما تقلقش حيال حوايجك
معانا,with us,معانا
علاش تخلعتي?,why did you quit?,علاش خليتيه؟
مابقيتش كانقمّر مازال,I haven't kept gambling,ماكنتش كايقيم
دابا لي علينا نديروه هوا نصايفتو داعاوات.,Now we have to do it and we'll make demands.,ولهادروقت، خاصنا نديروه، و غادي نديرو تطلبات.
حنا بيأمان!,We are safe!,احنا بأمان!
يمكن مرّا خرا,Maybe once more,يمكن مرة اخرى
كانحاس بخايبات أمال شوييا,I feel a little bit depressed,كنحس بالاكتئاب شوية.
سماعت بيلا لخوبز كان خايب لباطّ,I heard the bread was bad for the boots,سمعيت بلي الخبز كايضر بالزعيمات.
ماشي دروكا,It's not a joke,ماشي مزحة
والاكين راه دازت كتار من ساعا باش جينا هنا,But it took us an hour to get here,و لكننا دنا ساعة باش نوصلو لهنا
كانحسّ بحالا ماكاين حتّا سينيال هنا.,I feel like there's no signals here.,كايبان ليا باللي ما كاينش إشارة هنا.
نوبتك,your turn,دورك
غادي نقايّامهوم,I'll do it,غادي ندير
راجلي,my husband,زوجي
ماكرهتش شي فانتا,I don't like any fan,ماعجبنيش شي مروحة
والاكين كاين غير جامع واحد,But there is only one collector,ولكن كاين واحد اللي كايجمع
باينا هوما تايحاولو إبقاو مبرّدين.,I think they're trying to keep it cool.,كنظن بلي كايحاولو يخلوا هادو.
باش تغدّيتي?,What are you going to eat?,اشنو غادي تاكل؟
كمّل فطورك,fill your breakfast,عمر الفطور ديالك
كانسمع كلبهوم,I listen to them,كَنْسْمَع ليهم
"أُه, ووو, مودهيل!","Oh, wow, modhil!",واو، موديل!
بان لييا هادشي بزاف,that's too much for me,هادشي بزاف عليا
ماكانّاكولش لحوت,I don't eat meat,ماكلتش اللحم
"صالام ساندرا, بيت نسوولك علا شي حاجا علا قبل لحيصّا الجايّا.","Hello Sandra, I'm asking you about the next meeting.",مرحبا ساندرا، أنا كنت نسألك عن الاجتماع الجاي.
دور علا ليسّر,Turn left,دور على اليسار
كيفاش ديما كاتعرف إمتا كانبخي تعنيقا ولا نحت راسّي علا كتفك ?,how do you always know when to put a button on your shoulder or to put a head on your shoulder?,كيفاش كاتعرفين منين خاصك تدرك بزاف على كتفك أو تحط راسك على كتفك؟
جمع راصك,Get your bag,خود الصاك ديالك
غادي تمتعي بل جوو من دابا شي سيمانات.,You'll be enjoying the weather in a few weeks.,غاديك تكون الطقس مزيان ف بضعة أسابيع.
واش تهلات فيك مزيان?,Are you feeling well?,واش كايحسوك مزيان؟
"أُنتي, واش ناشطا?","I mean, are you active?",واش انت نشيط؟
خاسني ناخود ليها تسويرا,I need to get her a ticket,خاصني نجيبهالها تذكرة
واش خاسني نتكّا?,Should I eat?,واش خاصني نكل؟
"نتي زويونا, واش بغيتي تكون معايا?","So we're together, would you like to be with me?",إذن حنا مع بعضنا، واش بغيتي تكون معايا؟
واش هادا كتابك?,Is this your book?,واش هادا كتابك؟
هاد ل كلون كايضحّك,this color is funny,هاد اللون مضحك
ماشي بصّح,Not exactly,ماشي بالضبط
أنا لي غادي نخلّص,I'll take care of myself,غادي نعتني بنفسي
"شوكران علا داعم ديالكوم, علا كول حال","Thanks for your support, anyway.",شكرا على دعمك، على كل حال.
كانضان بلي لخدّاما عيّطو ل بوليس.,I think the employer has hired the police.,كنظن بلي المدير عاوض البوليس.
"أُه, ياك?","Oh, yeah?",أوه، نعم؟
إقدار إعاون أنّاك تفهام لماشاعير ليكاينا موراهوم,I can help you understand the poems of the Morakhine,يمكن لي نعاونك فالفهم ديال الشعر ديال الموراكين
لموديرا ديالي كان طالع ليها دمّ بزاف عليا.,My mother had a very high blood pressure.,كان لامي ضغط الدم مرتفع بزاف.
كيداز نهارك?,How are you today?,كيفاش حالك اليوم؟
سالاموعالايكوم,I don't know about the situation,ماعارفش بالوضع
رييادا كاتزيد ليك من تيقا,I think it's getting worse for you,كايبان ليك الوضع
حتّا أنا غاندير بحالو,I'm a singer too,أنا مغني حتا أنا
كادّير پيكالا?,how do you make a cake?,كيفاش كاتصنع الكعكة؟
"لبط زوينين, خوصوصان الدكورا","the shoes are beautiful, especially the backs",الصباطات زوينة، خصوصا الظهر
هادا هوا سوأل.,That's the question.,هادا هو السؤال.
يالّاه نتجمعو نتفرجو ف ڭاع ل أفلام لقدام لي كيعجبونا,let's get together and watch the movies I like,خلينا نلتقاو و نشوفو الأفلام اللي عجباني
واخا نزيد شي بوعويد تاهوا?,Can I add a few more words?,واش يمكن لي نضيف شي كلمات اخرى؟
ماكانش هوجومي والاكين كان معقول,It wasn't offensive but it was reasonable,ماكانش هجومي، بلحاق معقول.
أنا ماشطون بزاف بسباب ختيفاء نحال,I'm very busy because of the weather,أنا مشغول بزاف حيت الطقس
عافاك ماتاخودش هادشي ب تاريقا غالات.,Please don't take this too slow.,عافاك ما تتحركش بزاف.
غادي تكون حاياوييا بزاف,It'll be very lively,غادي يكون حيوي بزاف
جراو عليه,run it,سيرها
شهر جوج,two months,شهرين
أش كاتقرا?,What are you reading?,شنو كتقرا؟
تقدر دوي معايا,you can talk to me,تقدر تتكلم معايا
تقدر توريني فين كاين لرايون ديال دكشي ديال ماواد تنديف ?,can you show me where the rainy day of the weekend is?,تقدر توريني فين كاين يوم المطر فالعطلة؟
التلّاجا خاويا,the table is empty,الطاولة فارغة
