tgt,src
درتي فيا,You yelled at me. What should I do?
أنا أ ختي و عفتو,I know him sister.
سميت مالاك,Malak's name
دوق ديالي هاداك,My taste is that.
مرباحت والو فهاد المشروع,I did not gain anything from this business.
كاتقوليه فينهيا ختك,You tell him where is your sister.
قلل ناسك يرتاح راسك,Dont have too many friends.
إمتا كاتحلّ لبانكا,When does the bank open?
علاش مابغيتيش ت نشر حوايجك فستح ماتخلعش مابقاتش توبات فيه,Why don't you want to hang your clothes?
سكتي واحد شوية عفاك,Be silent a bit.
قلت ماعليش نمشي نشوفها,I thought what's the harm if I went to see her?
أنا ميريكاني,I'm an American.
كاينين بزاف دل فنانين فيهم سومنا,A lot of artists suffer from obesity.
كاينة العقا فهاد الدومين,It is a promising domain.
هادشي لي باقي تبعك,What is following you?
واش هاد طريق غادية ل الداخلة,Does this road go to Dakhla?
تانفكّر واش هاد التران سريع,I'm thinking if this train is fast.
تانفكّر واش إقدر إسوڭ ف لڤيراجات,I'm thinking if he can drive well.
فرت فيها هيتا مشات,i forsake it
ماعنديش ختي,I dont have a sister. What should I do?
قطّعت شعري,I just got my hair cut. What should I do?
مابقيتش باغي نعيط عليك حيت ماكاديهاش فيا,I will not call you now.
سمهي ليا أختي نشوفليك,let me see
واش هادشي بصح؟,Is that right?
مالك داخل بعججتك,Why are you storming?
بصحة,What is your good health?
راه كتقلب على صداع,Are you looking for trouble?
الهل يردو ينزل الله,go forsake him.
إينا مدينة؟,Which is the best city in the world?
واحد خويا و ندوربو شي دورة,Just a little bit and we will lgo
كيفاش دوزتي لامتحان,How was your exam?
أولي شهال باقي ليا,How much remain?
خاصني نمشي نشري جاج,I have to buy a new one.
بزاز باش كانقدر نتماشى هاد الأيام,I can't walk anymore. What should I do?
واخا، غادي ناخذوه من بعد,"All right, we'll take it later."
أنا راضية عليك أ بنتي,I'm proud of my daughter.
مانضنش غادي يعيطو ليه البوليس هاد المرة,I dont think the police will call him.
شنو هيا أخبا حاجة كنتي متيق فاش كنتي صغير؟,What is the most ridiculous thing you believed as a child?
راه سريعة هاد طونوبيل,This car is fast.
كتابي كايعتمد جزئيان على حقائق,My book is partly based on facts.
مازال ماقررت,I still haven't decided. What should I do?
مابقيتش باغي نشحل عليا هاد البلان خليني نتعدب,I will not make it easy for me.
نتي مافاهمة والو,You understand nothing.
الله إعمره دار,How reliable is a car?
هووا قرع,He is bald.
شنو عاوتاني,What else can I do?
و شريت زيت لعودت ديالهم و الخير موجود,Where can I buy olive oil?
دابا جات وقيتة ديال الراحة,Its resting time now?
ههه أنا وياك,Me and you
مكسينا ادينا روديفو في سبيتار,I took a spot for hospital.
كان كيسحاب ليا غادي يتبقو القوانين مع دكشي لي خاصو يكون,I thought that they will apply the regulations.
كولشي عطاني ب الدهر,Everyone gave me its back.
هو عرف بلي مو متات مقدرش يتهمل,He knows his mother can't handle it.
كنرجع نعس في الصباح,How do I go back to sleep in the morning?
واش نقد ليك شوكولا سخون؟,What is the best way to make hot chocolate?
راه خاف,He got scared.
علاش ماغاديش تعجبني,Why is she not like me?
كاين واحد ريستورا إيطاليا في المدينة واعرة,There is a cozy Italian restaurant downtown.
راني كنت كانشجعك,I was supporting you.
ولا غادي نتوضّرو هنا إلى الأبد.,Or we could be lost forever here.
كيدايرة القراية فهاد البلاد؟,How is education structured in this country?
علاش مابغيتيش ت نقد داك راجل ملي كان خايضير كسيدة,Why don't you want to compassionate me when I'm sick?
علاش هيتال دابا عاد جيتي,Why did you come?
خليني نمشي ناكول,I'll go eat.
عمرك ت فسّر ليا لموباريرات ديالك,You should never gime me excuses.
تانفكّر واش تفضّلت,"If I got injured, what would I do?"
ضحكتيني واخا دحكتي غبي,You made me smile even if I'm upset.
بانليا دمدومة,He is stupid.
والي حسّن كيف كونتي,How can I become better than I was?
كانتسنّا فيك ت فسّر ليا علياش هاد لمشروع دايرو,I'm waiting for you to justify the project.
تانفكّر واش نمشي نعس.,I think of going to sleep.
غير ماتعاوليش عليها,Just dont be reliable.
عنمشي نتزعلل نيت شوية نفوج على راسي,I will go swing a bit.
تانفكّر واش نقصّ فلماكلة.,How can I reduce my food intake?
"لا, ماتانحسّش براسي جتماعي ولا واتق من نفسي فوسط الناس","No, I haven't felt sociable or confident around people."
شنو هيا أكتر حاجة كيعجبك ديرها ف البرد ?,What is your favorite winter activity?
كون غير قدرت ن نحيّد على عملية هاد لعامالية ماتعرف نسح تا بلا بيها,If only I could foget the surgery.
راه صحيح هادشي لي كاتڭول,This is true
عمرك تأكد على شي حبار بحال هادا,You should never affirm this new.
"وايه, هاد الاجتماع هنا, غايكون صعيب نديروه","Yeah, this meeting here, it's gonna be hard to set up."
منين نتا؟,Where are you from?
ملي دخلنا عندو ماتلقناش بالهدرة,He speaks too much.
واش عندك توقيت ديال لترانات؟,Do you have the train's time table?
كون كنت أنا كن عرفتها,"If I were me, I would have known."
إوا صحة راه خاوية,Health is not good.
كمل حدمتك و نخلصك,Do your job I pay you?
عندي شوية ديال الما,I have some water.
إوا صافي,What is whatever?
كانكتب واحد لمقال,I am writing an article. How should I proceed?
انتباه أكبر نسبة,They are scammers.
خاصك تكون مستحيل,You need to be independent.
قدينا واحد دار هاد الصيف كاتل على البحر,We bought a house in summer.
بطبع,Of course.
و كايبالّيك نقدرو نتساطحو معا شي حيوانات?,And you think we can run into other animals?
كانو كايتساناوه,They were waiting for him.
هادشي كتير أصاحبي,This is a lot
مساء الخير,What was your good night?
عمرك تتاسل بيه,You should never call him.
عيط على شي حد,Call someone?
راه ممتن الأستاد على نقطة لي جاب تلميد,"The teacher is thankful for this grade, he said."
اللهم نركب فطاكسي أولا نسوڭ فلمبوتيلياج,I would rather go in a taxi.
أننولاو ڭاع رحلات فطيارة اليوما بسباب الدبابة,They cancels the voyages.
شنو تنسحوني ندير,What would you advise me to do?
و عندي أتاي!,And I had tea bags!
البداية هي لي صعيبة,The start is hard.
باش غادي ناخد تاكسي,How do I take a taxi?
هادشي كايبان مزيان.,That should be good.
خفت منّو,I was afraid of him.
تعطلي بزّاف باش تدعم شباب,Is it too late to get married at 24?
فيق من الجلبة قبل مايفوت الفوت,Wake up?
بين جوج مواعيد,What is the difference between two dates?
نتحداك ت حسر ليا الأرقام لي كايجاوبو على هاد الدعاء,I dare you to answer this question.
اليوم تاريخي,Today is history.
كنسا نشرب الماء,I forget to drink water. What should I do?
خليني نسدّرو,How can I get rid of him?
ممكن تشرح شنو لي مافهمتيش?,What is the best way to explain something you don't understand?
وره كلشي بيخير,eveyrhting is fine
سير عطيني بتيساع,What should I do to leave me alone?
أخصوصا بالليل؟,What is it like to sleep at night?
غانڭوليك جوج كلمات,i will tell you two words.
كماه بزاف,He smoked too much.
أوه هادا لطف كبير منك,Oh that's very kind of you.
كاندن خاصو يكون مسولدي,I believe it should be on discount.
غادي نتخرج العام الجاي,I'm going to graduate next year. What should I do?
أش بان ليك في الفكرة ديال النشاط؟,What do you think about entertainment ideas?
دابا راك كتفكر,Now you are thinking
احسن حاجة تقولي ليا علاش بغيتي تجي,"The best part is, you tell me why you want to come."
باقي نفس الإنسان لي عرفتو,He remains the same.
تعطلتو بزاف,Why was I so late?
راه مرتاحب سيمانة جايا تكون عصيفة,When will the next time there will be a storm?
كايعجبني اللحم مبخّر,What do you like about steamed beef?
اليوم مساليتشمعا شقة,I haven't finished hardwork today. What should I do?
خاصك سلعة كتيرة,Do you need many goods?
كانتخلصو كاش,We accept cash.
واش خاصك شي حاجة أخرى؟,Do you need anything else?
مكايبقاش فيك الحال,Don't be sad.
المنيا خسرات,Airconditioned broke
كان راجل مزيان,He was a good man.
كانتسنّا فيك ت بدّل لحالق و لكن لسقتي فواحد,I'm waiting for you to change your barber.
بغيت نشوفك دابا,I want to see you now.
شريتي الحوايج,Did you buy clothes?
أنا غير مكانبغيش نبقى زاكي,I just don't like staying still.
إمتا غادي ت بدا داك لمشروع لي فادحنا بيه,When will we start the project we've been talking about?
كنبقى نفكر فيك لليل كامل,I keep thinking about you all night.
مابغيتيش تستبعد هادوك لحتمالات لي باينين خلتين,You don't want to avoid this.
تحمّست بزّاف,I feel so excited.
إنا حدر كايبيع حضرة زوينة,What are some good selss vegetables?
راه مديح بزّاف هاد لبيت,This room is tiny.
راه آي واحد يدخل لهاد البحر أش هاف الحالة,anyone can go to this beach.
ماعندهوم نفس,They are not prideful.
زوفي واكس كين شي جديد,Is there any news?
أناخد دوا ف الوقت,I will take my meds on time.
واكس طياب وليدة هو تاع زنقة,What is your mother's food?
البص مسيان أولدي را الشتا مجها اليوم و البرد كيتير,wear well rain is coming
آه.,Sure.
يالله نوبتك بين ليا و جيبها فشبكة,Its your turn now
كيفاش كاترتاح مورا نهار طويل؟,What is the best way to relax after a long day?
كان كيسحاب ليا غادي يتعلم دخيا يفرك الحوايج,I thought that he will learn to wash his clothes.
أهلا,hello
راني كنت عيان,I was tired i was tired
بغيت ندير فيك غير خير ونرايحك,I want only to do you good and let you rest.
الزيت سخون,The oil is hot.
كون غير قدرت ن حيّن عليك,"If only I could jix myself, what would I do?"
لقيت راسي ڭاعما كانعرفو,I dont know him.
كيعرف نص ديال مدينة,He knows city people.
واش غادي تعيش فيها,Are you gonna live in it?
واش مرضيتيش ليها البال؟,Did you being cautious to her?
نتحداك تشدّد على ولادك بهاد طريقة إيلا مابداو كيخوتو,I dare you to be strict with your children.
واش دايرة دجميل,Have you ever had plastic surgery?
بونو كان غيخرج علينا,Bono almost made a mistake.
و لكن ل أستادة ديالي ديك لوقت كانت كادوّز لوقت ديالها كامل كاتخيّط فلقسم و ماعمرها شرحات لينا شي حاجة,But my teacher back in school used to spend all her time knitting and would never explain anything
هاد السرول ماجاش معايا,The pants don't suit me.
هاد المحل مانعين تقيس شي حاجة,Its forbidden to touch.
شلال هوايجك,What is the best way to wash clothes?
طربينا مانڭولوه الحاجة فلوجه,We are well elevated
حشومة,It's a shame.
مابغيتيش تطلق راسك شوية مع عائلتك,You don't want to get along with your family. Why?
مشا يختب,He went to get engaged.
سربي راسك,Be quick
عيت منشروب فدوايات تا حاجة ماعات لمفعول ديالها,I took many meds.
كاندان سمعت الجرس ديال العشاء,I think I heard the bell for the evening meal.
موحال واش أجّل لينا الأستاد المتحان,I will not speak to teacher.
كان كايتعامل سيمبل,He was simple
فكرة زينا هادي,What is a good idea?
بديت كانغوحوت عليه,I started Screaming at Him.
إوا الله يسر,How can God help you?
هادا هو القضو ديال بش,This is a true gift
واكواك,oh God.
لا نتي صافي هماقيتي,Are you insane?
الخضرا هي لي كاينة,What is a vegetable?
كان كيسحاب ليا غادي يأجل ديك الحصة,I thought that he postponed that class.
راه ورقت عليه ولكن مازال مكنتحركو.,I've pressed it but we are still not moving.
ممكن تفضلي عفاك,How can I help myself?
عمرك تسلم عليه راه مريض خايعاديك,Why should I never shake his hand?
مانضنش غادي نقاديك هاد المرة,I dont think I will fix you this time.
كون غير قدرت ن قادر هاد البلاد حيت كلها دولم,"If only I could leave this country, what would I do?"
غادي نخلص إيلا بغيتي,I'll pay if you like.
صعيب نختار,It's hard to choose.
علاش مابغيتيش تحسّن من حياتك,Why don't you want to improve your life?
غادي نعزلو دار,We will separate the house.
مابقيتش باغي نقرا هاد القصاص.,I will not read these stories.
خويا مريض,My brother is sick. What should I do?
دابا نشوفو واش أيبقا هاكّا فلامتحان الجاي!,We'll see if you have so much on the next exam!
مشيت عندو في الصباح,I did go to him in the morning.
ولا يديرو ليك وهداخور مقد,Or they make you another one that's well made.
دقيقة هاني جاي,I'll be back in a minute.
مابغيتيش ت تاوا معاه حيت عارفو جلدا,You don't want to bargain with him because he knows the skin.
الله إخلف عليك أسّي بوجمعة,"Thank you, Mr Bojm3a"
علاش مابغيتيش تحدد شي الصحة الدافئية,Why don't you want to find side income?
ولكن أناكل أي نكهة عطيتيها ليا,But I'll eat any flavor you give me.
خوك حرڭ ل سبنية ??,Did your brother go to Spain?
عمرك جربتي تحتارع شي حاجة سدمات العالم,Have you tried to invent a good thing?
بابا مريض,My father is sick. How can I help him?
أنا كانڭول نمشيو نتعشاو قبل الفيلم,I'm thinking we could have dinner before the movie.
لمقّول هو كولشي,To be serious
تانفكّر واش ندافع عليه,I'm wondering if I should protect him.
أنا فقط بغيت نضرب شي عومة سخونة و شي بيرة,I just want to take a long hot shower and have a beer.
كندوز من واحد الأزمة,I go through a crisis. What should I do?
خاصك تدير بزاف ديال الكريم فيه,You have to put more cream in it.
مابقيتش باغي ن قدرك حيت ماكاتستاهلش,I will not appreciate you any longer.
واش ثاوت عند راجلها,She went to her husband.
كانلقى غا لخدامي لي فيهوم تمارا,I found only hard labour jobs.
أنا مسخخ,I'm tired. What should I do?
برد,Chill out!
بغيت كفتة ديال اللهوت,I want fish minced meat.
واش رجعتي نعستي؟,When did you last go to sleep?
مخيتي لكازابلانكا,You went to the Casa.
تصويرة ماكايبان فيها والوالكين واحد عشيري وراني واحد سيت خيكونو فيه طونوبيلات ديجا درو أكسيدنت,The photo is not clear show me a website full of cars.
عمرك جربتي تعطق شي حيوان,Have you ever tried to kill an animal?
ماعمرني ماتنتزوج شي واحد فيه نڭير بزّاف,I will never marry. Why?
بقيت مداير معا واحد صاحبي بافه يوجد القبر و يسورو ليا,I was with my friend.
راه متالي هاد البرنامج كايوسي على الصالة,This programme advises prayer.
ماكنتش عارف أش ندير مورا التخرج,I didn't know what to do after graduation.
ماتبقاش تسنا الخير لي درتيه فناس إرجعوه ليك,What should always be good?
سيرو داكرو معا بعضياتكوم,go discuss it together
بغيت نسالي كولشي,I wanna end all.
عطيني هقي,What rights do I have?
عمرني في حياتي حسيت بهادلي لي حسيتو معاك,I never felt what I felt with you.
كايفقسوني,They make me angry.
ڭاعما غا يتعطل,He doesn't want to be late.
واش تفضل أولا تكامل لي محتاج المساعدة فالمبدأ ديالو؟,Is it differentiation or integration you're needing help with the principle of?
غادي تشوف، غادي دوز رحلة على خير، أنا متأكد,"You'll see, the journey will go well, I'm sure!"
واش كتبتي برا لحسن؟,Did you write the letter to Hassan?
عينيه كبريو,His eyes were glazed over.
الغطا ديال الناموسية عامر بالجليد,My bedsheets are covered with ice-cream. How can I avoid this?
راه كيعاوني هاد الوليد,This boy helps me.
حنا دراري تفاردنا فبراد ديال أتاي ومسمنة كبيرة,We drank a glass of Atay.
أنا مكتاءب شوية,I am depressed. What should I do?
مزعوطة فيا,She loves him.
اشنو ندير دابا,What should I do now?
نتحداك ت ستر على مراتك,I dare you to hide your wife.
اشنو مزيان بنسبة ليها؟,What is good for him?
شكران على المساعدة ديالك,Thank you so much for your help.
درسة نادت عليا,My tooth hurts me. How can I treat it?
خليني نشارجي ل پيسي بعدا,How do you charge a PC?
الدراري مابقاوش صغار,They are not children anymore.
نعطيه سكاتة هتا إنعاس,I will give him a pacifier until he falls asleep.
كانتسنّا فيك ت قوّا باش تكمّل هاد رحلة,I'm waiting for you to continue traveling.
قلبينها بيناتهوم,"They are quarreling, he said."
كاتخرج معا لعشران بزّاف هاد تاواخير?,You go out with friends a lot lately?
كلمتو حقرة,He said bad stuff.
ماشي شي حاجة نيت,It's not a big deal.
كون ماكانش هو ماكنتش غانلقاك,If he is not present I wont find you
كايلعب ل باسكيت معاك?,He plays basketball with you?
جدك فيها صداع,Why is my dad noisy?
اشنو بغيتي تعرفي دابا,What do you want to know now?
درت سحاب جداد,I made some new friends.
بلا ما تلبني علا شي حاجا.,Without asking me anything.
نڭلس معاك شوية,To sit a bit 
بوب ايكون مبارع,Pop will be great
كون غير قدرت ن تلاقا معاك,"If only I could meet you, what would you say?"
ماتشتنش معايا راني بخير,Dont bother I'm good for now.
نمشيو نهوتو الملف على واد سطاج؟,We go see our application for internship
إينا نوع ديال الموسيقى كايعجبك؟,What type of music do you like?
شكون هادي؟,Who is this?
ماعنديش فلوس,I dont have money. What should I do?
استقالة أصلا مكيشدوهاش,They don't take resignation.
راه محلوف بزّاف هاد لوليد ياكما كايجينا من لعائلة,This boy is too familiar.
عمرك ت خربق فهادشي را خاتسدق خارج على مشروعك كامل,You should never sabotage your project.
متيحة مابقا ليه والو,"In the end, nothing can rest too much."
ماعنديش خبرة ف الطياب بزّاف,I do not have much cooking experience. What should I do?
مابغيتيش تقاد شي تصويرة لمحل,You don't want to get good pictures.
كل واحد يدير لي مسلكو,"Everyone should do what they think is beneficial to them, he said."
قاليّة نتلاقا معاه,He asked me to meet him.
تعطلي بزّاف باش دوق فلباب,Is it too late to knock on someone's door?
المالك أيجي يديشن هاد البلاصة,His Highness will do a project.
ماعمرني نسيت أصلا,I could not forget.
عنمشي نتسوور على قبل الباسبور,I will make a passport.
بان ليا ماعندو والو,He has nothing.
بغي الخير لناس,I want god for people.
إمكن خاصني ناكل شي حاجة طاهية,Should I eat something as well?
عمرك ت طابر فقرايتك دكشي ماخاينفعك فالو,You should never be deligent in your studies.
خلعتيني,Why you scared me so much?
معنى,With us
مابقيتش شفتك مازال,I haven't seen you again. What should I do?
مابقيت فاهم والو,I understand nothing.
نتحداك ت ميّز بين هاد زوج هاد ألوان,I dare you to not mix these two colors.
مايبقاش فيك الحال و ماتلومش راسك,Dont blame yourself for anything?
واش نتوما من أمريكان؟,Are you from the U.S.?
ماتبقاش درب عشرانك شي نهار خاتندم تسدق شي واحد مندمك,Dont hit your friends.
ماتجيبش لينا الكادوات العار غير تكمل المسارف لي عندك,Dont bring gifts.
مشا يخلص دو,He went to pay for electricity.
كايعاود كولّشي,He tells everything.
مابقيتش باغي نحتجّ على لحكومة أصلا ماكايسمعوش لينا,I will not be productive.
شهر تسعود,september
آه، باقي عندي الما فشكارة ديالي,Why do I have water in my bag?
نهار كمال كاينة شتا,It rains all day long.
أشنو غادينشوف,What will I see in the future?
كاتمشي مع الموسيقى وجزء من أوركسترا سيمفونية,She goes on with music and part of a symphony orchestra.
عقلتي ملي كان كيحسابنا بلي الحياة ديال ناس كبار نادية,When we used to believe that being adult was all fun?
الله يخلف عليك,Thank you
بغيت نغسل الحوايج,I want to wash my clothes. What should I do?
الكورة ماشي شي حاجة,soccer is not hard
شي هد جا دوا فيك,What is the best way to describe someone talking about you?
راه حسّاسة هاد لأوم,This mother is sensitive.
فيك الجوع؟,Are you hungry?
مخيتي لجمع,You went to mosque.
"و من فوق هادشي, ضاربني لبرد بزّاف, إذن حسن ليا نغطّي راسي.","Besides, I have a big cold, so I'd better cover for myself."
درت خطأ مطبعي,I did a mistake. How do I fix it?
باش عرفتيها,How did you know it?
عمرك تكون سحون و تلاح فالبحر ديخة,Why should you never turn on hot water?
الطماطم خاصها تحماص,Why does garlic need to be roasted?
داكشي لي مشيت على ودو مادرتوش,I went for him.
عينين زرقين كايبريو كتر من المرة,Why are blue eyes more beautiful than brown eyes?
آه,Ah.
واش ماجاتش معايا,It didn't suit me.
بغيت نمشي ل,Where do I want to go?
خانفرق كارطة بيناتنا,i will draw the deck
الله إيسر,Good Luck
ماقاليا والو,She never said anything.
كايصبّن,He does the laundry.
اوه شوف، هاداك هيرون الأبيض,Is there a heron over there?
كون غير قدرت ن وريت فيك,"If only I could speak to you, what would you say?"
إيلا جيتي تشوف راه المشكل كبير,It seems like a big problem.
رجع أ ولدي لداركم,go back my son to you house
حياتي كلها دوزت فهاد الفرقة و الحمد لله كانضن راني رديت الجمهور ديالي,My whole life was as a fan.
واش واخا تشري هادا؟,Would you like to buy this?
كلا قبل مايرك تونوبيل,He ate before the car.
ماتبدلش راسك على قبل الناس,Don't change yourself for other people.
الله بقا فيها غير الحجر,Only rocks on the floor.
سير دوي معا ل أستاد ديالك,How do I speak to my teacher?
عديتي ماماك ب هاد التاريخ,You hurted your mom with this talk.
نتحداك ت شارك فهاد المسابقة,I dare you to participate in this contest.
عطيني فرصة عفاك,Why should I be given a chance?
مالي أنا واش ماكايناش,I'm not available
الله يعفو عليا,How can God help me?
غير تجاكيتة و زيف,Only a jacket and a scarlet.
و لكن لملاحضات ديالو ديما مبرّرين.,But his reviews are always justified.
شنو الماتيريال لي تاتستعملو ف البني؟,What materiels do you use in construction?
من الأحسن نسفتو ليه في إيميل رسمي,Is it better to send an email?
أنهاو نقارب ليك لماعنا,I will try to explain it in a simpler way.
ولكن مابغيتش ندير دورات,But I don't want to do laps.
باراكا علينا من الماكلة د زنقة,Enough of street food.
ولكن أنا ماعنديش مع البصلة,Why don't I like onions?
أتكون غير شي حاجة قليلة,Just a bit.
كان كيسحاب ليا غادي يتعدم,I thought that he will get executed.
واخا، مالقيتش الخريطة,I can't find the map. What should I do?
دهيا كبر,He grew up fast.
عمرك تخدم فديك للخدمة,You should never work there.
شكون غادي يتياب؟,Who will cook?
أش بان ليك نكتبو لبعضياتنا برات ديال الحب ?,How do I write a love letter?
داكشي لي كتب عليك الله,What does God want?
بخل كاريا في بم,How much do you pay for rent?
قالك خاصك تعرض على ناس,Why should I invite people?
حبس,stop
عندك توموبيلا غزالة.,You have a very nice car.
واش بصّح بغيتي تكوني كوافّورة?,Do you want to be a hairdresser?
امتحان فالفصل الآخر,A control on the last chapter.
والله يرزق كل واحدة,And God gives to anyone and anyone.
فين كاين المحل,Where is the shop?
نتا ديما مرتاح.,You are always resting.
كون غير قدرت نطلع كولشي ل دار دقة وحدة,"If only I was capable for everything, then what would I do?"
ماغانتاقلوش عليك,We wont be heavry guests.
وجيب ليه لقفال,bring the lock.
هادوك يالاه جاونا جدد,They came new
معق,With him
ورت أرد,He inhereted a land 
هاد لڤيراڭات خطر فليل,These curves are dangerous.
لقيت واحد الكسيوة زوينة على قلب هاد المناسبة,I found a dress for the event.
ملي كندوز اللحظة مامتوقعاش بجوج، شرح ليا شنو كتخدام عليه,"Since we're having an unexpected moment together, explain to me what you're working on right"
صافي غادي يفهم,He will understand
لي غلب يعف,Who wins have mercy on losers?
أندهم,They have
خارجي شي وحدة زوينة ههه,take out something good.
سلم على دار,My thanks to your family.
هي التبيق ديال موسيقا,It is an online music app.
فين هوا التران ديال المدينة عفاك؟,Which train goes to the city?
قاليا صاحبي باباه هرب,My friend told me my dad fled.
من,Since then
بلّاتي نقلّب ل پاراشوت واش ڭادّ إهزّ جوج تنّاس,Let me check the parachute to see if it is capable of holding two people.
طلع ليا فتاسي هادشي,I'm fed up. What should I do?
كايعجبك تيب ولا تكوماندي ماكلة؟,Do you prefer to cook or order?
راه إداريا هادشي لي كاديرو ممنوع,This is administratively illegal.
واخا نكون كبيرة ماغايتبدل والو,"Even if I'm old, nothing changes."
بغيت نتيب التاجين,I want to make Tajine. How can I do it?
كي دايرين الدراري لاباس,How are you?
تجنّب أي بلاصة فيها الفساد,How can I avoid corruption?
كنت ديما كنفكر,I was always thiking.
تعطلي بزّاف باش تسمح ليا,When is it too late to excuse me?
داونا المدرسة الخامسة باش نجيبو شي حشرات,The forest has many insects.
مابقيتش عارف كيفاش ندير ليها,I don't know how to do it. What should I do?
"ڭلت الروز هي بالضحك, كنت كانقصد الديسير!","I said rice for fun, I meant dessert!"
شوية ب شوية,A bit a bit.
جاني معا شد,He came during heat.
غادي نتلقاو قريب,We will see each other soon.
عمر أول راجل ف المدينة,omar is the tallest man in the city.
وشنو غادي دير دابا,What do you do now?
أنعاود، راك أصلان خديتي ربعة ديال القيلولات,"I repeat, you have already taken four naps."
ولادي كيقراو مسيان,What should I do to make my kids study well?
نتحداك ت توقّع نتيجة ديال هاد لماتش,I dare you to predict the outcom.
اليوم صعيب نهار,Today is hard.
شريت كورة حمرا,I bought a red ball.
هاد المحل غالي.,This shop is expensive
بلا متقلب عليه,Dont look for me.
راه تبعاني الخدمة,I have a lot of work to do.
ديما كايشوفو فيا شوفة غريبة,They always look at me with a strange look.
هاد دراري صغار باقي تايلوحو عليا!,And those kids keep splashing me!
راه كاين ف البيت لاخور,Its in the other room.
كايقلب على الكرا,He is looking for rent.
خليني نزيد ف صوت,How can I increase the sound of my voice?
عندي واحد ليستا,I've got a list.
حل معاك الباب عفاك,Can you open the door for me?
وبغيت دانون,Why do I want yoigurt?
مابقيتش باغي نسد لقفل ديال الباب دنيا را آمنة هنا,I will not close the door its dangerous outside.
جيب معاك الدرا,What is the best way to bring pop corn with you?
امتا دوز هاد السيمانة نتهنا منك؟,When will this week pass?
ماما بغات تخرج تبدل الجو,My mom wants to go outside. What should I do?
مساج؟,What is Massage?
إوا,well
بغيت ندفع الورقة ديال تعاويد على فقدان شغل,I want to have another job. What should I do?
غانخلي دار بوك,I will beat the hell out of you.
ماشي بعيد,It's not far.
كانتسنّا فيك ت سرح شعرك كيجيك حسّن مسرح,I'm waiting for you to make your hair.
علاش مابغيتيش تعجد سيور ديال الصبرديلت صاحبك,Why don't you want to tie your shoes?
مودا عندي صراحة كانغلسهم ونشفهم,"I had them for a long time, honestly I wash and dry them."
توحشت نخرج مع صحابي,I miss going out with my friends.
ياك مابيك والو؟,You are fine aren't you?
كنقول ناخدي شي أوتو,I want a vehicle. How do I get one?
زين عندنا سلالة فالعائلة,We have a pretty girl in our family.
ماكنعرفتش نتياب,I don't know how to cook. What should I do?
وكيفاكس واكس مبغيتيش تجي,Why don't you want to come?
صافي غدا أنك عندك,I will be with you tomorrow.
حل الباب باش يخرجونا,What is the best way to free us?
دابا شهال دارور معاك,Who do they do?
إيلا كنت بلاصتك,"If I were you, what would I do?"
واش هادا طوبيس للي تايدي ل الكتبية؟,Is this the bus to Koutoubia?
كان على ماما تمشي مع بابا,My mom should have gone with dad.
و أتاي ديال البابونج قبل نعاس,What is the best tea to drink before bed?
داكشي لي بغيت,What do you want?
عطيني الاشتراكات الجديدة!,What are the new subscriptions?
بشحال كاتطلع فنّهار,How much does it cost to work for a day?
هانية,It's okay.
آه!,Ah!
كانتسنّا فيك ت عطار شي شعبة دخيا,I'm waiting for you to choose a game.
جاتني انتوكسيون,I got intoxicated. What should I do?
كانّ مكتاب ليك دجي لهنا,It was destined to get here.
هاهو جاي قريبا,When is it coming out?
هنا راه مزوجين ماشي معاشرين,"We're married, not dating."
مابخيش يموت هاد الشارف,Will he ever die?
ولاو المايتين كتر من الهاين,How many people have died?
أنا غادي نحط إيديك على الكلب ماغاديش يعدك,Why won't my dog bite me?
غير شوف مزيان أسيدي,Just look sir.
سير قتفو من شجرة شوية ديال كرموس,go take some figs from tree.
كانتسنّا فيك ت تقاعد را صافي مابقيتيش كاتعدم مسيان,I'm waiting for you to retire.
كاي دير ليه جنهين,He made her wings.
نتحداك ت سجل ولدك بلا مشاكل,I dare you to go to your son.
كاتباني فينا,You look beautiful.
تحضران، عفاك,Calm down please.
في مركز ديل الرياض,The sports center
كانتسنّا فيك ت فحس راسّك,I'm waiting for you to examinate yourself.
واخا أنا مشوش شوية حيت عندهم فرن فالطيارة,Although I'm a bit worried about the fact that they have ovens onboard.
ماكرهتش نسول فيها,I wish to call her. How do I call her?
مالك زقرام,Are you cheap?
تفو.,Damn.
واحا غانسيفت ليك شيهاجة,I will send you something.
مانضنش غادي تبقى ثاجة مورا هاد الحساس,I dont think you will stutter.
اشناهوما لهوايات ديالك؟,What are your hobbies?
صافي تليفون مشا ليا,How can I find my lost phone?
تسنا، غادي نقلب فالحقيبة ديالي,"I'll look in my bag, wait, wait."
بنادم حرب ليه,Why are people so stupid?
كانحس براسي مزيان,I feel great here.
باراكا من الماكلة,How can I stop eating?
نتحداك ت حدّد ليا شكون لي ربح,I dare you to win.
أنا متأكد ميا ف الميا,I'm 100 percent certain.
واش غا تبقاي مقلقة مني,Why are you always upset with me?
سنين وهوا ساكن تما,He has been there for years.
تڭالبو عليه,They turn on him.
غادي تكون ممتعة,It will be fun!
بغيتي تمشي معايا؟,Do you want to go with me?
سمح ليا، شنو قلتي؟,"Excuse me, what did you say?"
بغيت نشوف عفاك شامبر هيا لأولا؟,I would like to see the room first.
قلل قسم,five to
عطي الأولوية لقرايتك,prioritize your education
