Original Moroccan Arabic,Translated English
نقدرو نعاودو مايزينا ب تهين.,We can return our table in two hours.
واش مابقاش الواحد يتسنت المخو فالدارو,Is it not customary to wait for the arrival of the train at home?
مانضنش غادي يملك شي نهار شي شركة,I don't think he'll ever have a company.
شحال فعمر هاد البناية؟,How old is this building?
نتحداك ت عزّز لصاحبك,I challenge you to support your friend.
وصل شهر تاسع صافي هاد الليلة خاتمشي تولد المرة,He is nine months old. Tonight is my first birthday.
آه عندي اجتماع مهم داروري نحدرو,"Yes, I have an important meeting to attend."
كون غير قدرت مانبقاش نتوضر,I just couldn't keep up.
ماتبقاش غير كاتنغر,It is only a caterer.
راه حاوي الباركين,It's a parking lot.
كان ف البنك,It was in the bank.
مابقيتش باغي ندير عمليات زراعة ديال القلب,I don't want to do heart transplants anymore.
راه مسدود الباب ديال القسم,The door to the ward is locked.
كون غير قدرت ن خربق و فالأرض نجيب مسيان بحالك,If I could just get down on the ground and get you back to your bed
دابا يعييت ليك,Now I'm tired of you.
جيبي نصخة من شهادات الباك,Bring a copy of the certificate of deposit.
حل الباب,Open the door
إيلا شي هد كتب أولا سول ب دارجة أنجب ب دارجة.,"If it is written or pronounced in a scale, it is pronounced in a scale."
آش إيخصنا نعطيوهم ياكلو؟,What should we feed them?
أو لا راه آيكون صعيب تسمع ناس اش كايقولو,Otherwise it will be difficult to hear what people are saying.
راني كنت هربت من شفار,I was running away from a farmer
ماراديش بهادشي,I don't like that.
تانفكّر واش نشري هاد لمنتوج جديد.,I'm thinking of buying this for a new product.
راها كاتحول الحفلة جهنمية,It's turning into a hell of a party.
فالصباح ملي تفيق فيقني معاك,"In the morning when you wake up, you wake me up with you."
لي خلف البنات ما مات,The one behind the girls is not dead.
كان شاد ستيلو,It was a pencil case.
راه مرتاح يكون تسونامي,It is comfortable to be a tsunami
ياله جاي باكس تسكن,What is the price of the ticket?
ويلا سبقتيه نتا,Will you go ahead of him?
تعطلي بزّاف باش توصع خاترك,It took me a long time to get your bag.
وا سرعتي الحياة ديال هاد لتريكو,What a life this trio has led.
اشنو كدير دابا؟,What is it now?
واش أنا غير زايد,Am I too much?
علاش مابغيتيش تفرك حوايجك بهاد الصابون,Why don't you rub your clothes with this soap?
راه حزين راجل من نهار لي مراتو ماتت فيه,He is a sad man since the day his wife died.
كتقصد تقول بلي مكنبانش كبيرة باش نكون جدة!,You mean I'm not old enough to be a grandmother!
عمرك ت وسّع سروالك كتر من لقياس,Your pants are too wide for your size.
كانهدر شوية بالإنجليزية,I speak a little English.
واش 21 يوم و موس,21 days and counting
علاش مابغيتيش تلبو يعاونك,Why don't you ask for help?
كاندان بلي غير شاف حداه ولقاها,He said he had just seen her and met her.
شحال و أنا كاندق تا واحد ماكيجاوب,How long have I been knocking on the door without an answer?
واش كاجيبلي القفا؟,Can you get me a chair?
ماديروش ليا شي خصم؟,Can you give me a discount?
خليني عليك ف الطيار,I'll leave you on the plane.
أحنا خدامين,We are serving
دير تيليفون يتشارجا,Charging of a telephone
حاجة بسيطة,It's very simple.
مع ولادو حبيل,With a child
"و نقدر نجيب شي ديكور, نفّاخات و شي لعيبات","And I can get some decorations, some blowers and some toys."
ساوبي لينا شي أتاي سخون عفاك,Please bring us some hot tea.
عمرك جربتي دوق ديك الماكلة,Have you tried this dish?
مانضنش غادي تويتر كتر من القياس,I don't think I'll tweet much more than that.
مانعاودش معاك لهدرا,I'm not going back with you for this.
خليها فلارد,Keep it in the fridge.
عزيزة عليا الكتابة,"I have to write, dear."
أنا كنت غلطة فيه,I was wrong about him.
نتا راه بصح خصك تبرد شوية!,You really need to cool down a bit!
كان كيسحاب ليا غادي تملك شي ڭاراج تخدم فيه,"If I have to, you'll have a garage to work in."
ماعرفتش شحال باش خاصني نبيعو,I don't know how much I'll have to sell it for.
كاننسى شي حوايج,I forgot some things.
هنا قلسين فداك السالون لي مفرش مزيان,Here we sit in that drawing room with a nice bed.
واخا نسول سيدة شخصيا,May I ask a lady in person?
توحشت المونسبات لي كاناكلو فيهم رفيصة,I miss the restaurants where we eat cheaply.
شعرك زوين,Your hair is beautiful.
روسيا حتالات وكرانية,Russia and Ukraine
أنا غادي نجيك راس راس,I will check you head-on.
واش عندكوم هاد ل پرودي ف ستوك؟,Do you have this Prodi in stock?
القضية بدات كاتبان,The case is starting to look like it.
واش غادي تكون حفلة في البار هاد الليلة؟,Is there going to be a party at the bar tonight?
ماتقول لتاشي على البلان ديالنا,You don't say that you're against our plan.
أش بانليك,What is your name?
مع الموضة كيبداو يتقشرو,With fashion they begin to peel
عاصير دليمون,Lemon juice
تقدري تاكلي لي بغيتيها,I can eat whatever I want.
وشنو بغات دابا دير؟,What do you want to do now?
كايوصلوني خبارو كاملين,They send me all the news.
هاد البلاصة زوينة,This place is nice.
زيدي تسالي شغالك,Be more careful with your work.
عمرك تلوا بجبوع راك صحيح,You have to eat right.
ماتقبلتش هادي,I don't accept this.
واش هادا نتاع شاب درويت ولا باقي,Is this a Druid or something?
طول طول نخلة و لعقل عقل بخلا,The length of the palm and the brain of the brain
هادشي ماغايخرجكش,This won't work.
أنا بنادم لي طالع لي ف راسّي,I miss what I had in mind.
كاينة هدايا شنو بغيتي,There are gifts you can buy.
عايش معانا بيخير,Live with us better
نتا خاصك تحيد القهوة,You must drink coffee.
ماكشوف والو في دبابة,I don't see the valve in the tank.
هادي هيا لي عمرها ماتكون,This is for my age.
شحال المدة هادي ونتي خدامة هنايا؟,How long have you been working here?
عندك الزهر,You have the flower.
واش عرفتي شحال باقي تبعنا,Do you know how many more we have left?
يالاه فقط,Just take it.
اشنو بغيتي مننا نديرو؟,What do you want us to do?
كيفاش خصني نحطّو?,How should I put it?
كاينة ريحت الدجاج مقلي,It smells like fried chicken.
راه يوميان غادي خلصة مسيانا,It will be two days before the evening is over.
شوف غدامك,Look at your hand.
كانت أحسّن طريقة نهربو بيها من ستريس ديال لخدمة,It was a good way to escape the stress of the job.
كانتساحبو غير على الفلوس,They only take cash.
راحيمكا لاه,I'll leave it there.
ظروف عائلية، ولدي كايعيش في باريس,Family circumstances. My son lives in Paris.
باينة ليا غادي نخدم ماعندي ماندير,I think I'll work on my Mandarin.
ماخدامينش اليوم؟,Aren 't you working today?
مابغيتيش ت خسّسّ لراسّك وقيتا دحك فيها شوييا,You don't want to get your head hurt when you rub it a little bit.
كان كيسحاب ليا غادي يسهّد عليا,"If he were to pull me over, he would have to kiss me."
أنا غادي ن تناقش معا الأستاد حيت ديما دالمني,I will discuss it with the teacher because it always bothers me.
عرفتو أكسنو هيا تسقت,I know the axon. It's broken.
عاديم، لعبة ديال بينجو,A game of bingo.
عفاكم شي واحد يعاوني,Please someone help me
غانجرب قهوة جديدة,I'm going to try a new coffee.
كايكبر بشوية,It grows slowly
مانضنش غادي يعمر ليه العين داك الحاولي,I don't think he'll live to see that day.
كتب واحد قاصدة شعرية,He wrote one intentionally poetic
فايت القياس,The size fits
بغيت ندير لي باق,I want to make a reservation.
هوا زعر,It is a scar.
ماتمشي غير على خطرك,Walk at your own risk.
70 درهم ختي من فب ف ماركت,70 dirhams from FB at Market
تعلم من الأحداث ديالك,Learn from your experiences
كان عزيز على البنييتة ببا باها كتر من ماماها,He was more fond of his father's architecture than his mother's.
علاش مابغيتيش تدرب معايا,Why don't you train with me?
نتا وأنا غادين لمسرح.,You and I are going to the theatre.
شكون عارف؟,Who knows?
واش صافي سالينا للخدمة؟,Is it clear to work?
وا ناري ماكنحملش لي ماكايراعيش,And I can't bear to see it.
كون غير قدرت ن وتّد لعلاقة ديالي معاك,Being able to confirm my relationship with you
راه استراتيجية هاد الخطة,This is the strategy of this plan.
سير بدل ساعة بخرى عفاك,Please leave at another time.
شكون كايديها فيا أنا؟,Who's got it in me?
عمرك جربتي التوّر من شركة ديالك,Have you tried the tour from your company?
راه عمالي هاد الشارجر,This charger is working.
دارها ليا هاد الوهم,I have this illusion.
تعطلتي بزّاف باش تردع.,I was too busy to stop.
هادي طبلة,This is a table.
برينا عانشوفك,Brianna is looking for you.
مشيتي غلطة,You have walked wrong.
علاش مابغيتيش تجلع داب الغرس دابل,Why don't you take off your clothes now?
أول مرة نهس بهادك الشعور,I never forgot that feeling.
مبارك ومسعود,Congratulations and happy birthday
اشناهوا المشكل؟,What's wrong?
راني كنت عمرت الفريڭو,I was a freelance writer.
اشنو هاد جوقا,What is this noise?
تحت فالدروج,Under the stairs
بغيتك اليوم تسالي ليا كولشي,I want you to ask me everything today.
كان كيسحاب ليا غادي يحاورني بحترام,"If he were to pull me over, he would talk to me respectfully."
غير تلقو,Just take it.
تانفكّر واش هاد سيد أيقدر يتعالج,I wonder if this gentleman can be cured.
سمهوليا ماكنتش عارفة,"Slowly, I did not know."
واش دوّزتي نهار خايب?,Did I take the wrong dose?
راه ماكايتسنّعش فلهدرا,It is not visible in the picture
مكاين لاش تمشي عند ناس,Do not go to people's houses.
أنا كنتسناك هدا القاعة,I was waiting for this hall.
دقو زعيد و جبرو لديد و حلف حتى تزيد,Call the sheriff and force him to take the oath to increase
عطيت عطيق راني كانخرق,I gave up because I was breaking up.
مورها شدني لا كتيب,Her mother handed me a booklet.
سير تغدا,Go to lunch.
عمرك جربتي تقطع المنتجات ديال هاد الشركة حيت خلات,Have you tried cutting the products of this company for a while?
ماتيه فنفس الخطأ,He died in the same accident.
شرحي ليا هاد المسألة هادي,Explain this matter to me.
الشتا كاتحبط فشراجم,The light is blocking the windows.
بغيت يشره ليا أش واق,I want to buy a watch.
موهيم أنا تايبالّيا المبادئ ديالك معوّجة,Mohamud I have noticed that your principles are distorted
قلت ليك ثلائي فرسك,"I said, strap your horse."
إمتا غدوز مورايا,The death of Godz Moriya
أنا معاك ماتخافيش,I'm with you. Don't be afraid.
بغيتي بيه,You want it?
ماڭلتي لينا والو ڭلت نسولك شكون,You called us and I wanted to know who it was.
نفرحو بيك حتى نتي,We are very happy for you.
ككون قالك تمشي بوحدك,If I had told you to go alone
هاد لمرة غاندوزهالك,This time I'll take care of you.
وكانقول هادا ولدي هههه,And I say this to my son
ناش نخرجو نتعشاو؟,Shall we go out to dinner?
ماكانّاكلش قمرون,I didn't eat the moon.
مع السلامة,See you.
والمشروبات حتى هوما,Drinks included
أبدا,Not at all
غلضيتي,My mistake
"فكّرتيني, كانتمنّا ماتكونش عرضتي على رشيد.","I thought, I hope you didn't offer me a penny."
عندها,She has
كايدوي إلينا,Give it to us.
تعطلي بزّاف باش تخلعو,It's too heavy to take off.
سيدة باينة فيها معدبة,A lady appears to be pregnant
واش باقي الخبز,Is there any leftover bread?
مانعسناش,We are not interested.
غا نمشي عد الخضر نتقدا شي حاجة,I'm going to the green to buy something.
أ ربّي!,Oh my God!
"ولكن هنا, طياب إمكن يكون مزيان بزاف!","But here, the food can be very good!"
ناس راه ضروري تشري باش تاكل,People have to buy to eat.
قطعو ليا من صالير,Cut it out of my pocket.
سير ڭلّس معا دياف,"Sir, sit down with the Deaf"
كولشي كان كيخني من كبير الصغير,Everything was cooked from scratch.
غير كديرلك خطرك,I'm just warning you.
مازال مالقاش للخدمة,It is not yet in service.
بنسبة الخدمة خاص نكونو قراب,We must be close to the service.
عندها 3 فرصدات,It has 3 seats.
أنا غادي ندفغ عصير,I'll pour some more juice.
آه، بنادم بزاف,"Yes, I very much regret it."
كانت هي كنضحك معاك!,She was laughing with you!
كادجي ساعة دالماڭانا وتمشي,Come at one o'clock and go.
أوي غير سفت من بيسي,I just got out of bed.
المرسى عامرة,The dock is full.
هادشي لي وقاه مؤخرا ماخلاش عندي تركيز,Something happened recently that has left me unable to concentrate.
ندير لي بغيت,Do what you want.
أنا كبرت فواحد دور,I grew up in a one-room house.
قدر معا راسك,Count yourself.
هي غادي تحتاجك بزاف هاد الأيام,She will need you very much these days.
رتاهي تما تال غدا,I'll see you there tomorrow.
راه كايفرّح ولدك بطربية لحسانا ديالو,Your son is happy with his good health
هاد الخرجة كان خسّنا نعبرو واحد شجر,This exit was a little bit farther than one tree.
ماتشوفيش موراك,You can't see behind you.
خليك ومشا سافر بعيد,Take a walk and travel far
عمرك جربتي تقدر للخدمة ديال مالين زبل غير لايسمح لينا منهوم,"Your age is too young to be able to serve the poor, but we are not allowed to ignore them."
إيلا بغا راجلي يعصابني كايقوليا فين أحبي,"If a man annoys me, he tells me where I love him."
هادي هيا الحقوقة,This is the right one.
كون غير قدرت ننزرب باش منركبش فيهوم لعصاب,If I could only run away to ride in them for a gang
لالة إيمان، كيفاش دوز هاد الوقت كاملو؟,"Aunt Iman, how did you manage all this time?"
هاداك دوا خطير بزاف,This is a very dangerous drug.
قهوة بسكر، شكران,"Coffee with sugar, thank you."
راك ماعارفش مناش مكون الهوا,You don't know what air is made of.
حدا سوپرمارشي,Near a supermarket
أنا غاندوز ليك ختي هدري معاها,I'll give you my sister's number.
و راه كايعجبهوم توكّلهوم كيما كان لحال,And he likes them to be handled as they are.
وا غبور هادا,This is a very good one.
عندك تغلط معايا,You have the wrong person.
إوا كيجيتك لقهوة,I'll take your coffee.
ڭالو غادي تطيح الشّتا,It's going to rain soon.
مشير البال نشوف شنو كاين,I'll see what's there.
جات قاتل ليها خاصك تسيقي هاد دار ودربيليها شيتجفيفة هالثع,You have to drive this house and show her that the water is dry.
هاد السيمانة ماعاديكس نمشي لستج,I'm not going to school this week.
فوك مشاكلك باقدة,Your problems are solved.
علاش مابغيتيش تسبق معايا راني مفدّي خاطربح,Why don't you dance with me? I'm a useful person.
ماعنديش الزهر,I don't have any flowers.
شهال هادا و أنا كانتسنا نهز ولدي,This is when I was waiting to take my son.
كون غير قدرت ن صيفت ليك شنو محتاج,If only I could have shown you what I need.
كانهزوم فتوموبيل,I'm driving a car.
واش شديتي لاكارت,Did you get the card?
جيبي ليا منهوم وحدة,Bring me one from there.
يقدرو يكونو عندي أشرطة فشي بلاصة,I may have some tapes somewhere.
غادي نشري تموبيل جديدة,I will buy a new car.
فوڭ الشبعة,The fullness of the mouth
غاندوزو وقيت زوين,Have a good time
كانشتب دار,I am looking for a house.
عنديك عند الحدار لي كانتقدا من عندو ديما,You have a friend who I always miss.
عمرك جربتي تدير كسكسو بلا ما تفوّر,You have tried to run a ski lift without success.
آه كانعتارف,"Yes, I know."
تايديرو الفرزيات,The French are doing it.
على الأقل دير شي حاجة,At least do something.
غادي نمشي نشري شي قصوة جديدة منلبس!,I'm going to buy a new pair of shoes!
دخل لدار,He entered the house.
ناس العزاز تبدلو علينا,Dear people are turning on us
واخا كنسمع بلي الخبز مازوينش للبط,"Well, I hear the bread isn 't for ducks."
ماكداوبنيش,He didn't catch me.
توحشت فاميلتي,I miss my family.
كان كيسحاب ليا غادي يحللّ النص,"If he pulls me over, I'll analyze the text."
هاد دار كاتل على جبل,This house is on a hill.
اوه و الجتماع ديالنا مع الكليان الجدد ديالنا,"Oh, and our meeting with our new clients."
خاصك تبغي راسك,You must love yourself.
كانتعلم سبانيوليا,I'm learning Spanish.
كنا متافقين بجوجات,We agreed on two things.
أهيانا شوية إيلا عندي شي حاجة كانمشي بتاكسي,I'll be a little late if I have to take a taxi.
خليني نخدعو,Let me see it.
قلت نتشوفو ومنها نيت نهدرو,I said we'd meet and then we'd talk.
أنا غادي نجاوب على ڭاع الأسئلة,I will answer all questions.
علاش ماكملتيش قرايا؟,Why haven't you read it yet?
أشنو وقع ليها,What happened to her?
حتى أنا فيا جوع، إمكان لينا نمشيو لشي مطعم إيلا بغيتي.,"I'm hungry too, so we can go to a restaurant if you want."
أتحتاج شوية ديال الثلج عليها,I need some ice on it.
أنا مارانمشيش,I'm not going to leave.
عرفت أنها صعيبة ب نسبة ليك حيت الخلعة و اللوجيك مكايتجمعوش عادتان,I know it's hard for you because logic and reasoning don't mix.
إوا تمارا هاكاك,"If it is a tamara, so be it."
جات كاتجري وراها,She came running after her.
ماتيقي في حضرت باندم,Do not believe in the existence of a pandem
أولي كيفاش خدا كولشي,"First, how did you take it all?"
كايعجبني نتمشى فيهاد النواحي,I like to walk around here.
"هير فلمجرّ لي على إدّيك ليمن, دابا نجيب النضادر","Here, I've got a little bit of a glitch on your right hand, now I'll get the glasses."
تانفكّر واش هاد لقرار صحيح,I think this is the right decision.
حنا بأمان!,We are safe!
مايمكنش ليا نعوم في الليل كاتشندني رعدة,I can't swim at night because I get a chill.
اليوم 25 غشت.,It's August 25th.
فين كاينا طواليت,Where is my bed?
برع راسك أصاحبي كون كانو عندي فلوسّك كون درت ڭاع دكشي لي كانحلم بيه,"I'm glad you're happy, my friend, that I had your money, that I did what I dreamed of."
و لكن كون ركّزتي على أنّك دير كونطرة ديال ل إسلاح مزيان معا المالين لاسّانصور كون ڭاع ما وسلنا ل هاد لحالا هادي,But focusing on being a good arms controller with money to spare is not the answer right now.
عجباتني الكسوة ديالك,I like your dress.
ماتسوّلنيش,Don't ask me that.
من صباح ونتا كادور بيا ف زناقي,This morning you were looking at me in my hallway.
ڭول شحال يقدر يسالي هاد الماتش,See how much this match can cost.
تعطلي بزّاف باش دعاف.,It takes too long to heal.
و لكن القصة مهمة بزاف,But the story is very important.
"واخا,و المشروبات, أش نديرو فيهم؟","Okay, what about drinks? What do they contain?"
كون غير قدرت ن تناقش معاك,I wish I could talk to you.
إوا غدا صباح معا 9,"Well, tomorrow morning at nine."
علاش مابغيتيش ترجع من العطلة راك رتاحيتي بزّاف,Why don't you come back from your vacation? You've rested too much.
و شكرا على شكلاط لي خديت ليك من الصاك فاش ماكنتيش كاتشوف.,And thank you for the chocolate I got for you from your purse that you couldn't see.
هادا راه موهامي ماعندو مايدير ليك,This is my business no longer your business
سير تفاهم معا سيد,Go to the meeting with Mr.
أنا غادي نرتاكب فيك شي جريمة,I'll charge you with a crime.
كان كيسحاب ليا غادي يراجع قبل من امتحان بيوم,"If he were to pull me out, he would have to check the day before the exam."
بغيت نشري البارطمة,I want to buy a bottle of wine.
واش كاتسمعيني ولا لا؟,Can you hear me or not?
كانسبح عيان مورا الصالة,I'm swimming in the back of the hall.
واش ماكتفهميش العربية,Don't you understand Arabic?
فين عمرك تفكرتيني,When did you think of me?
واخا نعست 15جرس.,I can wait 15 minutes.
مابغيتيش ت نسّق بيني وبينك هادشي,I don't want you to get in trouble with me for this.
خليني نوكلّو,Let me eat it.
رانا جايبالك سخرة معايا,I think you're being ridiculous.
بعدي عليها,Follow it.
كانڭول راجلي ولد ناس,A man born in the country
قريبا وقت المدرسة,It's almost time for school.
ماعنديش شك,I have no doubt.
قراو بعدا الفتيحة و توكلو على الله,Read the opening and trust in God
خليها بيارة في دار بها لهوما ديال راسك,Keep it in a house with a beer for your head.
أجي تءمّل معايا,Come dance with me
كون غير قدرت نرتب وجهي,I just had to get my face in order.
ولّا علّ أقلّ خطوة فل إتجاه الصحيح,And I've got to take at least one step in the right direction.
أنا عارفك أش كاتسواي,I know you from Katsuya.
صافي نتهاركو غدا,We'll leave it tomorrow.
طلبتي مني نحدرهم,You asked me to cut them down.
فين يكونو تايقدمو ماكلة مزيانة,Where they serve good food
جاوب فتل,Go to the hotel.
راه ممتازة هاد نقطة,This is excellent.
خليها هيتا يتزاد الولد,Let her have the baby.
نتحداك ت دير راسّ براسّو,I challenge you to turn your head.
شنو باغيتي يمشي يطلب.,What do you want him to order?
دار ليا مفاجأة,I had a surprise.
محتاجك في جنبي,I need you by my side
كيفما ڭولت ليك فلول: بيخير!,As I said before: it's better!
من المزيان تسمع بلي خدات الموسيقى وغادي تمتع بمهنة مزيانة,It's nice to hear that you're a musician and that you're going to have a good career.
ماغديش اليوم,I won't eat today.
ماڭلتيهاش ليا,You gave it to me.
ماعقلتش على راسي,I didn't think of it.
كون غير قدرت نبدلت سميتي,I wish I could change my name
من صغري كندير هادشي,I'm too young to do that.
شريت حيواج جدد,I bought new shoes.
بلا ما تمشي ل شي بلاد أخرا,Please do not go to another country.
هو حل الباب,He opened the door.
مانضنش غادي نديها فلمشروع ديالك,I don't think I'll be able to make it to your project.
مشينا؟,Do we walk?
علاش مابغيتيش ت مسّ ليه لكرامة ديالو و هو ديما معدّي علينا,Why don't you touch his dignity when he's always on our side
شحال ساعا ??,How many hours?
فوقاش غادي يرجع لدار,When will he return home?
كيفاش غانستعمل هادشي؟,How do I use this?
اليوم نهار مشمّش,Today is a sunny day
ماشي دروك,It's not a knock.
هادشي علاش هوما صحابك وماشي صحابي,That is because they are your friends and not mine.
ومشيت معاها,And I walked with her.
ماكاتجيش معاكوم سترا,"I'm not going to fight you, Stra."
فطرت ب خبز شهمة,I have a piece of bread.
باقا كتبغيني ياك؟,Do you still love me?
ف ويب هاتا أنا,This is my website.
طلعتلي فراسي,My head is spinning.
واش مستعدّ لهادشّي?,Are you ready for this?
دخلت الأكاديمية وأنا صغير باش نتعلم كورا,I entered the academy at a young age to learn Korean.
"غادي نغطيو ڭاع المواد تال نهار تلات جاي, داكشي علاش بدا لقرايا باكري","I'll cover all the material by next Tuesday, so start reading early."
آي!,"Yes, you are!"
كلشي كيدوي على الموت ديال هاداك ديري,Everything points to the death of that dear one.
عمرك نزل ليك تانسيون طال هاد الدرجة,You must have forgotten how tall this is.
كايعجبني نشرب شي حاجة باردة فصيف,I like to drink something cold in summer.
يالاه خديتيها لولدي,"Here, I have it for my son."
صافي ولدة مسكينة,I was born poor.
شراجم مسدودين,Closed windows
كان قالس ف طبلة لي هداية,He was sitting at a table for me as a present.
علق المحفظة ديالو على الكرسي,He hung his wallet on the chair.
آيه راه غا ديك ساعة,"Yes, it is that time."
للي بغيتي,If you want.
راه ياله قلبت و تقدر تلقا الأغنية ف يوتيوب,You can find the song on YouTube.
ديت ولادي يحسّنو موراها لحمام باش يمشيو فسفر نقيين,I had my children clean their backs in order to have a clean trip.
مابغيتيش ت ركب داك لعاود,I don't want to ride that again.
عنتقاتل هاد الماتش حيت مانقدرش نتخايك راسي حاسّر لماتش ديال لعزال دد لخريم و ن5سر لبوطولا,I'm fighting this match because I can't imagine losing a single game to a team that's playing against a team that's playing against a team that's playing against a team that's playing against a team that's playing against a team that's playing against a team that's playing against a team that's playing against a team that's playing against a team that's playing against a team that's playing against a team that's playing against a team that's playing against a team that's playing against a team that's playing against a team that'
شكون تغيّب ليوم?,Who was absent today?
"ماكانش عندي لختيار, ولا لا?","I had no choice, did I?"
أجي دغيا.,Come quickly.
عمرك جربتي توّق شو بلاصة قد هاكا,You should try to find a place nearby.
معايا,With me.
هاهيا الكوموند ديالك.,Here is your order.
هادشي ماشي سايل كيفما كايبان ليك,It's not as simple as it looks.
مانضنش غادي يجمد داك الما دخيا,I don't think it will freeze that hot.
كون غير قدرت ن تحدّاه و لكن ماخانربحوش,I've tried to stop him but I can't.
هادو كايتسناونا,They are waiting for us.
عادي هتا نتا قدي لرد,It's okay. I'll take it from here.
مسيكين الحبيب ديالي,My poor dear
هوكّا,That's it.
بلا ما تبعد عليه.,Don't walk away from it.
عوضتلي أسرار ديالها,She told me her secrets.
مكانبغيش نخدم فمجموعة حيت فنهاية المطاف كاندير الخدمة كلها,I don't want to work in a group because eventually I'll lose the whole job.
مايكون باس,What is it?
عافاك ديني للمطار,Please take me to the airport.
بقيت كنسكت فيها,I stayed in it.
مابغيتيش تفوضني على داك ريسطورة لي باغي تبيع اليوم,I don't want to be charged for this restaurant that I'm selling today.
تشهّيت شي طاجين,I tasted some pancakes
من داك نهار وهوما برا,"Since then, he has been out of the country."
مرا عندنا ومرا عندكم,Our woman and your woman
مابغيتيش تصرح فهاد الخلا في الليل,You don't want to leave this room at night.
عادية باش كنتيبو,It is normal to be depressed
ماتبقاش دوخ عليا ب هاد الكلام,Don't keep on insulting me with that.
آخرا نقدر نمشي لدار,I can finally go home.
كان كيسحاب ليا غادي يقنعو باش يقرا فهاد الجامعة,"If I had been attracted to him, he would have been persuaded to study at this university."
اودي، تيليفوني مخدامش فهاد البواطة تلحبس!,My phone is not working on this boat!
فين كانت xحال هادي,Where was she?
ماكيعجبونيش هادوك البولات ديال البيروات,I don't like these beer balls.
ولكن غادي نجاوب على الإيميلات غير فساعات ديال الخدمة,But I will only answer emails during office hours.
عندو الكاف,He has enough.
الماكلة ملحة شوية,The food is a little salty.
علاش مابغيتيش يدربك فراسك,Why don't you want to train yourself?
واحدي ويفلز خليها,One of them must be off.
بان عندنا,We have it.
شنو الفيلم لي تبغي تعاود تفرج فيه من لول ?,What movie would you like to see again first?
دخلات الواليدة هات التاجين,The mother received two crowns.
واخا على الأقل مايمكنش ليا نتطرد حيتاش تعطلت على الجتماع,"Well, at least I can 't be fired for interrupting a meeting."
سير دور ولد عمك فالفيرمة,"Sir, your cousin is in the firm."
أكيد غادي نجي,I will certainly come.
علاش مابغيتيش تربيتي شعرك,Why don't you want to grow your hair?
رير كاتخربكي,Rer is bothering you.
تانفكّر واش هاد لمسلسل كيستاهل نبداه.,I wonder if this is a series worth starting.
كون غير قدرت ن جدد فيك ثقة,I have just been able to regain my confidence in you
مسيان كحواياوانات كايبحيو الحانان,Men and women who love the bar
راني كنت كانعمو ف بيسين.,I was swimming in a pool.
عفاك تقدر تعطيني واحد ربعة ديال الزيتون,Could you please give me a quarter of an olive?
غير بغيتك تجي عندي نهار سبت,I just want you to come to my place on Saturday.
التلفزة ماخداماش,The TV is not working.
بغيتي شي حاجة تشربها؟,Would you like something to drink?
كيفاش تعرف عليهوم,How do you know them?
شحال ديال الدراري عندك؟,How many drums do you have?
أولي زلاقتي فين كانو عاينك؟,Where were your glasses?
ماتقتعنيش ملي نكون كانهضر,Don't cut me off when I'm talking.
غير تهدني دابا,Just calm down now.
وخود ليا سالعة.,I got a flat tire.
ولكن مكاينين حتا عطل مخلصة فهادشي,But they don't have any real holidays in this.
سير حسّب شحال جمعنا ليوما,Please count how many we have today.
واش سيفتو شي هيد؟,Do you need a guide?
مانضنش غادي نربح كتر م هادشي,I don't think I'll make much more than that.
ديما كايزيد جو زوين,It always gets nice.
خلاص فالخيس,Take it in the afternoon.
أول رحلة ليا لبرا!,My first trip abroad!
خاصو يدير راديو الكبير,He must have the big radio on.
سير ستّف سلعة,Please stop by.
واش أنا باقة صغيرة؟,Am I a small package?
أوف... كانتمنّا كون دوزت نهار غي ف الدار معا لكلب...,"Oh, I wish I could spend just one day at home with my dog."
را عطاقهم هتا يجي لي يعاودك,I'm looking forward to seeing them again.
ڭول أش عندك,Please have a seat.
مابقيتش باغي ندور لهاد جيها كلها وسخ,I don't want to go around all that hot anymore.
سمح ليا,I beg your pardon.
شنو بان ليك ناخدو شي صقاطة؟,How about a box?
أنا غادي نراصي ليك جيها لي ماتفوتش,I'll dance for you if you don't miss it.
ڭاع هاد سيكان كيتشابهو,These bags look alike.
والا طاول تفكر فيها,Or a table to think about.
الماكلة بنينة,The food is good
كايجي مزن,It comes in a bag.
كون غير قدرت ن قاد ليك شي فاصّ,I wish I could have driven you a bus.
مدايرين شجر ديال لمشماش و زيتون,Two areas of lime and olive trees
واش نقدر نجربو؟,Can I try it on?
نتقات خطة قاتليها ماموسخاش لكراية ليخلواها هكاك,I think the killer's plan is not to let anyone get away with it.
أشمن خبر جايبة تاني,I have some more news.
أنقدي شي شغل,Find a job
ماتفهمنيش غلط,Don't get me wrong.
منين تولادنا هنا، صعيب نمشيو لبلاد أخرى,"Once we are born here, it is difficult to go to another country"
و قراي و باختي مزن,And my village and my sister are weary
هاد الماتش خايتفرجو فيه الملايين إوا فرحوهم وماتنساوش لبريما لي خاتجيكوم و شي كونطرة من برّا علاش لا,This match is watched by millions of people and they are happy and don't forget about the bonus for the game and some outside control why not
أولي أنساي,I forgot
ماندينش غادي نعتمد هاد المقاربة مرة أخرى,I don't think I'll take that approach again.
زوفي ليس ليست,Sophie is not
تقريبا شي عام,About a year.
وعندي كارطة تحية,I have a greeting card.
صاحبي هاه!,My friend!
و أنا نعيط ليه علطها ليه,And I call him. Give it to him.
