tgt,src
عيدة ماعروضة عند النسابي لعشا,there's no time for dinner
خلي بدا پروجي جديد,let me start a new program
ماشي وقت هادشي دابا,this is not the time
"مرا, تايبالّيا","Hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey!"
تفشولي روايد ديال توموبيل,you shouldn't go to bed
صافي من نسوني عليك,who forgot about you
فين كان مشيو اليوم؟,where did he go today?
كايكمي بزّاف,you are too much
لي بغيتيه نديروه,i want him to do it
تاواهد ماعرفها,she doesn't know it
الشّتا خيط من السما,it's a bit of poison
مانبغيش نتحت ف نفس الموقف,I don't want to be in the same situation
أنحاول نسالي بكري,I'm trying to get off early
واش داوية من نيتك؟,do you want to do what you want?
ماكانضنش,I didn't think
واش رجعتي نعستي,did you go back to sleep
نتا لخدم ديال هاد الدار,you work for this house
أوه، فين غادي؟,"Oh, where are you going?"
غير بشوية,just a little bit.
هاني جاي نهزّك,he will shake you
شريهي ليا أش واقع,buy it for me
شحال تلوقت باش توصل ل تطوان,how long have you been waiting for
مالك على هاد الروينا؟,what's your name on this novel?
إوا كاين شي سفر,there's something going on
مشا عليا طوبيس,I didn't have a bus
البوليسي وجدت تقرير ديال ڭاع داحاية,the police found a report
مخيت مع صاحبي,i went with my friend
سير معاه ل مكتابا,go with him to a book
كيفاش ناس كيعبرو على الحب ديالهم فهاد البلاد؟,How do people express love in this country?
أما من ناحيت البوفيت كانت الماكلة موجودة تبارك الله,the food was there to be blessed
ولكن دابا صافي ل هادي و توبا,but it's clear to me and Toba
نتحداك ت سرح فالصحرا فهاد ليل,I dare you to leave the desert at night
بلا ما تراجع هاد درس.,Don't back off this lesson.
أي حاجة مع الماء السخون، واخا أنا ماشي من ناس ديال النعناع,"I don't want hot water, but I don't want mint people"
بان ليا الواليد دخل دار,my dad went to home
غايخص ٢ تسوايع ب توموبيل,he wants to talk to him
هسّيت قلبك كايدرب من بعيد,i've lost your heart from far away
إكسي واحد يقدم,X is a presenter
موحال تلقاها,he took it
ماشي مشكل تخاف مرة مرة,It's not a problem to be afraid once
سيام فيه أجر كبير,he has a lot of money
آه، فبزاف ديال الوقت,"Ah, it's too much time"
راه مبتكر ديال هاد الاختراع مات,this invention is dead
واش نمشيو ناخدو شيهاجة فهادك المحل,Can we go get some tea in this shop?
واش ماتقدريش دجي دجلسي معاه,don't you want to sit with him
بغيت نشري هادا,i want to buy this
ساكنة فيه 11 رعام,live in it for 11 years
جاه ساهل يخرج هاداك لپازل,this is easy
رابعين ألف باكس راه.,4000 bucks
واش ماترا ليكوم والو,what do you think
بغيت نشوفك,I want to see you
قلت ليه واش هادشي ديالك,you told him to talk to me
راه مازال لحال,he's still alive
كنت كنفكر نديرها نهار سبت جاي,I was thinking about running it on Saturday
و هيا راه جزء من ثقافة عامة ديال جاع المتعلمين,this is part of a public culture
عمرك ت تقدا فلمرشي راه خالي دكشي لهيه,you should never go to my place
الشاف تيب واحد شهيا بنينا,the tea is good for us
هاد ندار غا ديكور,this house is decorated
ونسوني ليك,they forget about you
ماخندر معا البراني,he didn't do it with the brunette
غزدي تلقاي ليس بوڭوئات جداد,i think i'm not a new person
وصلات بيا دنيا لحد,he called me
ديني بحالتي لدار,what do i do for home
أنخلص ڭاع دين لي عليا,I'm finished with you
تمان شركة,she wants company
ودرت شحال من تدريبات منين كنت خدام فبار مشهور فلندن,i turned a bunch of trainings from where i worked in a famous bar
هيت ماكان أندي ڭانا,i didn't wanna
سنسيبل بغيت شيهاجة ناتشر,I'm gonna make a big deal out of it
ديري بزاف ديال الفرماج، بالخصوص!,"Have a lot of pomegranate, especially!"
هادشي كولو مفبرك,this is a freaking collar
كان كيسحاب ليا غادي نحرف,i thought that he will be a pervert
شنو أحسن سپور عندك؟,what's your favorite?
كنت كنكمي حدا شجرة المفضلة ديالي شوية لقيتني هنا معاك,i've been waiting for my favorite tree
ولكن غادي ناخد قهوة بلاصتها,But I will take coffee at her place
ياك قتليك مادخليش لتما,dont kill you
نتوما هوما المستقبل,they are waiting for the future
خاص نكمل هاد الكتاب,i need to finish this book
الله إسوب أوسف,Allah is worse
اشنو جبتي لهوم؟,what did you get for them?
مهتمين بالثقافة المغربية,I'm interested in Moroccan culture
أنا غادي ن تزعلل في جردة,I'm gonna be upset
هادشي غامى كايدهك,that's how it is
أنا نتكلّف بلمطعم و تعياط على صحاب,I'm working at a restaurant
لا بغيت غير نسول على أنواع البيرة ليعندك,I only want to ask for your beer
شادا حسابي,my account is good
كون غير قدرت نفترد شي فرضية منطقية,if only I could find something rational
راه مامفروشش هاد السكران تا واحد ماعرفو كيسكر,he didn't find this sugar
ولكن هادشي ماشي معقول!,But this doesn't make sense!
تعطلي بزّاف باش تفسّر شنو ترا,you are too late to explain what you see
بايلي ماكرهش كون كان عندو تونوبيلا حسّن,i don't like having a good tone
آه، حنا كانديروها بزاف,"Uh, we've been doing it a lot"
أجي تفاعل نعايا,come animated
شكون أكتر شخص دكي تلاقيتيه ف حياتك ?,do you think it's the most important person you've ever met in your life?
دغيا قدير الغرض,he's a good man
فيا العطش ولكن كنت كانتمنى شي حاجة قاصحة شوية على الما,i'm thirsty but i was hoping for something
خل هادا ماسولت فيها ماسولت فيا,i didn't ask for it
ماعرضوش عليا,he didn't offer me
شهرين أنا فالفراش,I'm in bed for two months
وحدة تما لجلد,i'm sick
مابقيتش باغي نعزز ليك ديما كاتندمني,I dont want to support you
أنا غادي نخلي عليك,i will leave you
شكران ليك، راه تعاكلت!,"Thank you, I've eaten!"
هوما ضخو وأنا بكيت,they cried and i cried
ملي مشيت لبحر وأنا داراني ودني,i went to sea
عندي,i have
مانضنش غادي نخمر بحياتي,I dont think I will drink my life
كتعرفي شي وحدة حدامة في سبيتار الكبير,you know what's in the big bathroom
ماتبقاش تخش فراسك,don't be afraid
مابغيتيش ت دمّع فهاد لموت سافي غير دير ما فجهدك,you don't want to cry for my death if you don't mind your efforts
مابقيتش باغي ن شارجي تيليفون أصلا لبطارية ديال ميت,I'm not gonna write a phone to a dead battery
عندنا خمسة ديال السوايع حتى العشاء ديال الليلة,We've got five days to dinner tonight
مابغيتيش تبني شي دار قدّ هادي,You dont want to build a house
كتيب كوكيز فالكوزينة,cookie cookie
دير براسك مكلخ,do your business
كون غير قدرت نخرب دكشي لي كديرو,if only I could ruin my job
تعطلي بزّاف باش تاسل بيه,you are too late to ask him
ختي يالله جات لدار,my sister came to the house
واش كايبان ليك مزيان,they're good for you
مات ليه مراتو,he died a few times
فيه الضجيج,there's noise
حطّ لموس,touch me
كون غير قدرت ن حدر ليك شي غدا صغير باقدة تسد بيه جوع,if only I could show you something small tomorrow
هي تربط معاه بهال خوها,she ties her brother to him
صافي تهديني هاد ساعة,i will give you this hour
عندي بالضبط الخطط ليغادي نوريكم غدا,i have the plans to show you tomorrow
راه ماغاتنساش هاد الخرجة,this is not going to happen
آخر وحدة فيهم، بنت شهاب,"the last one of them, the daughter of a star"
آه بطبيعة الحال موكين,of course you are.
العقبة العام جاي,the general obstacle is
مابغيتيش تموت شهيد.,You don't want to die a martyr.
ف البيد جيهت الباب,i came to the door
تفراج في البط مريح بزاف,the ducks are too comfortable
شحال عطيك ديال لوقت ولكن نتا ماعندكش لكلمة,"i will give you a lot of time, but you don't have a word"
مابغيتيش توقع امتا عايوصل لمخريب لمستوى ديال دوال الكبار,You don't wanna expect me to make a mess at the adult level
مابغيتيش تستافزّ داك لجومهور فوسط لماتش,You don't want to provoke this crowd in the middle of nowhere
ماعرفاش شنو بيا,I don't know what I'm talking about
راه تخرجات معلمة,this is a teacher's education
جبتها ف راسي,i brought it in my head
مافيا ماياكول,what are you talking about?
فيها شوية ديال الملحة,It's a little salty
أش مدايرة لعشا ليوما,what's for dinner today
دوار معاه,he went with him
راه مرة بزّاف هاد ليمون,this is a lot of lemons
بغيتي تمشي لهساب واقيلا,you wanna go to work
نتحداك تحدّد ليا شكون لي ربح فهادو,I dare you to tell me how to win this
تانفكّر واش شدّو ناسّ لي غشو فلامتحان,I'm thinking if they buy me an exam
لوالد كايبكي مابغاش يسكت,he will not cry
خديت لابتوب,i took the paper
هاد ناوي يرجع فلوس صدق,this is good money
فهميني أختي ماشي داكشي لي ڭلت,"understand me, sister."
ديما كايحضر معايا,he always comes with me
مازال ماقررت,i still haven't decided
ملي تكمل,what do you do
كانغير!,it's been a while!
الباب مقفول,the door is locked
كون غير قدرت ن ديكلاري بيك,if only i could buy you
داروري خاصك دجي,do me a favor
كنتمنى ماتكونش فزقتي,I hope you didn't hurry
البيبان ديال دار ولا ڭاراج?,how many houses do you have?
القانون ماعندكش لهق فداكشي,the law doesn't exist
زوفي واكس كين شي جديد,we're new
القضية نعسة أخي,the case is sleepy
هات رجال على رجال,there are men on men
والو ماكايناش نتيجة,he isn't the result
قالوها ليا واليديا,they said it to my parents
إيلا ماكنتيش عارف علاش كاتهرب,if you don't know what to run
كانضن يمكن لينا نصوبوه و نقدموه مع شوية ديال أعشاب بحرية كبداية,I think we could fix it and introduce it with some seaweed to begin with
يخليك ليا,leave you to me
ليعاندها تموبيل تهديها,to help her give her
مايمكنش مانجيش,i can't help
تعطلي بزّاف باش تعاود على لبرد,you are too late to get cold
ماعدنا علاش نعرضو عليكم دار داركم,we will not show you your house
أودي,Odi
فشكال,I'm waiting for you
الباراه كنت ناخد,i was taking
تانفكّر واش نوكّل هاد لمشاش,I'm thinking if i'm gonna give this to you
دولة كانت كادرب,a country has been apprehensive
هو راه مشا خلاهوم,he didn't talk to them
سبيق الأجرة أولا تعطيل العمل,i will interrupt the job
نتا واعر بزاف ف اختراع أطباق خاصة,you are too familiar with the creation of special dishes
راه ويستوهم لي لقايتي عاي يعطيه ليك,they want me to meet you
كيف كايقولو، إيلا كنتي ماكتبغيش تعيش هنا، سير عيش ف بلاصة خرا,"how do they say, if you don't want to live here, go live in another place"
سمح ليا، ماسمعتش مزيان.,"I'm sorry, I didn't hear anything good."
ماكايجي هد,what's this?
تحاولو الدار الجديدة,try the new house
أنا غادي نردعك,i will stop you
عمرك جربتي فكّرتي فكّرتي شكون كاتبغي كتر مو ولا ولادك,Have you tried to think that I think of writing too much
واش مانقدرش نعاول اليك فتاحاجة,I can't count on you
بالما تبقى الدور فالهضرة,while it's still on the ground
امتحان فالفصل الآخر,exam in the other class
واش هادشي بصح؟,Is that right?
علاش مابغيتيش تجمع دوك الحجاري فلبحر لي قلت ليك,Why don't you want to collect your clothes
هو القلب الكبير لي بغيتها يجيبها ليك,is my big heart that I want to answer to you
سير رجع لأمانة المليحة,go back to the house
عمرك تحاول تمأنو حيت ماعمرك ماخاتنجح,you shouldn't try to be careful if you don't want to be successful
كون غير قدرت نكرهك حيت تستاهل ولكن راك خويا,if only I could hate you
سمح ليا,Excuse me
عمرك تركب شي باتو را يقدر يخرق بيك,you should never take a car
خاصك تكون فرحان دابا,you need to be happy
شهفت هاد نهار بزاف,i saw this day too much
الله إعاونك,help you
نهار الحد هوا الروبو ديالي,the day of the day is my robot
كايناسبو عليكوم,it's okay for you
هادشي علاش كنا دوينا,this is what we did
هاد المخدة ماشي مريحة,this pillow isn't comfortable
مابغيتيش ت برّر دكشي لي كادير حيت راك مانادم علا والو,you don't want to explain this to me
عيط على الواليد,give me the father
مالك مامسوق؟,what market is it?
أش نغيتينا نديرو ليك أختي?,do you want me to show you my sister?
ولاه إلا مابقيت كانكل مع صحت غير سوال,if only I stayed with you
مابغيتيش ت بلوكي ساحبك واخا تخاسمو حيت كاترجعو تسالحو,you don't want to balk me
غادي نطلب منهم ليك تانتا,I'm gonna ask them for you
إيلا شي هد كتب أولا سول بالإنجليزية أنجوب بالإنجليزية.,If only he wrote in English
نتي راك ماعارفة والو,you know what
حبسوني ف الدخلة ديال طيران,they locked me in the air
أنا غادي ن نقل فلامتحان جاي,i'm gonna move on to the exam
كل واحد كايمشي على قدو,each one is on foot
ماعدنا مانديرو بيه,we can't do this
واش ماعندك مايدار؟,Don't you have what?
زيادة، زواج، أي حاجة,"More, marriage, any need"
تواضع شوية,humble me a bit
تان سوني تاواحد ماكايجاوب,i'm waiting for someone who doesn't answer
سماه ليا عدبتك معايا,call it yours with me
فنفس الوقت، نتا الشخصيا، كايبان ماعندكش مشكلة فعقلك,"At the same time, you are personal, you have no problem with your mind"
هيت كاينين البنات داكشي باش,she is like a girl
شاد تقاري,i will talk to you
شكون من غيرك,i'm afraid of you
ماتلقا فين ذات راجليك,they don't find your guys
ماتكونش فدولي,you are not in my country
جاوبيني دغيا داروري,come to me
راه علينا هاد الراجل,this guy is on us
مابقيتش باغي نزيد عليك صافي شحال من عام و نتا مكلف بيا,I don't want to add a year to you
عمرك ت حبط من هاد الدروج,you should never be disappointed
علاش مابغيتيش تطبع هاد المنهجية فالقراية,Why don't you want to print this methodology
عمرك ت قنعني حيت ماخانبدلش رأيي,you shouldn't talk to me
ف أسوأ الأحوال,at worst
أشناهوا دور لي كايلعب لفن فهاد البلاد؟,What part do you play in this country's art?
تلقو شهاب نارية فسما,they get a firefighter
سافرتي بزاف!,you went too far!
ماعرفت منين نبدا,I don't know where to start
نتا رومانسي بزّاف,you are very romantic
خليك هاكا ماتحركيش,please don't move
أنا غادي ن أهل المنتخب غير برشوة,i'm gonna pay the election only in bribes
عمرك ت قابح معا لي كبر منك,you should never talk to me
حتى أنا بغيت ناخد بهالك,i want to take this
عمرك مشيتي لفرانسا؟,Have you ever walked to France?
وعندك تعطل,you are late
ماعجبنيش هاد اللون,i don't like this color
أهلاً، أنا حسن ملي كانطلعو ف الهواء,"Hi, I'm good to go to the air"
تاحاجة ف هاد دنيا مستهل,you need this world to start
عمرك جربتي تخسر شي تورنوا,Have you tried to lose something
روسيا حتالات وكرانية,Russia is a shithole and a car
خاصّك تشرب بزّاف ديال لما,you need to drink too much
قالو ليك عليا شي حاجة,they told you something
واش غير نعوّل عليك?,do I count on you?
حنا الفراخ ديال البط صغيرة جايين!,We are the chicks of little ducks coming!
ولكن كنت كانتسوت,But I was waiting
علاياش كنتي تاتهضر نتا و ماماك?,Why are you hurting your mom?
واش عرفتي علاش؟,Did you find out about him?
را عطاقهم هتا يجي لي يعاودك,he will bring you back
راه ديما جايينو بروسيات,he always came in Russian
تانفكّر واش نتلاقا ب صحابي,I think we should meet with my friends
غير خليك نتيا فدار أنا خروج نقلب,i'm going to turn
غا نساليو بكري اليوم,i will ask early today
لا خدمة لا ردمة,"No favors, no rehearsals"
هادشي غير كايزيد يكفس,That's just how much he buys
كولا كايدير ريو,it's caeder ryo
شهر واحد,one month
هادشي لي كاين,this is for me
غادي نمشي مع صاحبتي,I'm gonna go with my friend
جداتي كيعجبوها الحيوانات,my grandmother likes animals
أنا غادي ن تبدل معاك الكشكول,I'm gonna change your chocolate
ماعارفش العقوبة لي داير,don't know how to punish me
عمرك جربتي تبللخ البوليس باش تلعها عليهم,Have you tried to wet the police
مكتبة ديال فوءاد,the library is quiet
واش مكيدخلش سوق راسو,do you want to get in the market
وبقى نتا تما,we're still good
شحال تعطلت على رونديفو ديال طبيب تا مشا ليا دوري,I'm late for a doctor
كين منين تجيب ليا كالكيولاتر,where do you bring me a chocolate
خاصو يمشي يشوف طبيب على هاد شخير لي فيه,he wants to see a doctor
شحال فعمر الأحفاد ديالك؟,how many grandkids are you?
واش جمعتي الباجاج ديالك؟,Have you collected your makeup?
هي ماغاداش تبغي,she doesn't want to
انتباه أكبر نسبة,Pay more attention
عنمشي عند خلتي,i didn't go at my place
كانتسنّا فيك ت 799ق بحال هاد لأنجازات,i'm waiting for you
هانا كانتوي حوايجي,I'm waiting for my clothes
خاصنا نعاودو نمشو لتما,I need to go back to work
خلّا لبرّاد فوق لعافية,go to the cooler upstairs
نتحداك ت مدّد لكونطرة معا لپاترون ديالك واحا ماكيّلسّش مسيان,I dare you to extend your relationship
مشيت كنجري خليت الحليب بلملحة باش تقد تنشن,i went to make milk
تعطلي بزّاف باش تشتارك ف لعبة,you are too late to participate in a game
علاش مابغيتيش تكمل فخدمتك,Why don't you want to continue your work
بدلت حوايجي بسطة و ستين كشيفة,I changed my clothes as simple as 60
مشيتي لسوق؟,Did you go to the market?
ماتغلتش غلطة ديالي,you didn't make a mistake
مكايهمنيش بغيت غا نمشي نرتاه,i dont want to go
كان كيسحاب ليا غادي يرجع داك ديري صحيح بلا الصالة,i thought that he will bring him back
الفئة السوسيو قطاعية جديدة,the sysion class is new
غير سالي تشدي فلوسك,i need your money
سيري تقادي,go go go go go go go go
مال ولدي أش دار?,what do I do for a living?
ياك ماتخافي,Don't be afraid
أما بنسبة لواش كاتعجبك الطماطم ولا لا، فأنا ماشي سوقي فيداكشي لي كايعجبك وماكايعجبكش,"you don't like tomatoes or no, I don't like you and you don't like me"
غير بغيتي تعدب راسك,if you want to beat your head
مابغاش يحل الباب,he won't fix the door
يمكن خاصنا نجلسو نقدرو على هادشي فواحد الوقت,we can sit down and we can do this at one time
راه مدور راسو عليا هاد العام,this year is a good place
أوه، واو؟,"Oh, wow?"
تعطلي بزّاف باش تكمّل ف طريقك,you are too late to finish your way
ختي عريضة أزياء,my sister is dressed
اليد ديال الباب سخونة بحال كانت فوڭ البوطة,the hand is hot
أجي سدّ عليا لباب,come find me a door
را دولة متعطفة مع فلسطين,he is a friendly country with Palestine
عمري عرفتها كتقد هكاك,i've known her like this
مشيت ل أڭادير,i went to work
الله لي عالم ب حالي تا أنا,god knows what I'm doing
خاصنا نمشيو لمستعجلات,we need to go to hurry
ماعمرك كنتي مزيان ف المط,When you were old you were very good at it
واش ممكن نديروه وحنا قراب هكا؟,Can we do it soon?
مان بعد و نفهمك,who is yet to understand you
دابا نصيفتها ليك وقتمّا كملات.,I'll take it half for you while I'm at it.
كانتسنّا فيك ت عطارع شي حاجة جديدة,I'm waiting for you to see something new
"موهيم, سالينا دابا.",heh heh heh heh heh heh heh heh heh heh heh heh heh heh heh
نتحداك ت رعا هاد البهايم را تواحد ماقدر عليهوم,I dare you to help them
وصلتي?,you arrived?
نمشي معاك فين مابغيتي,I'll go with you where you don't want
تعطلي بزّاف باش تجمع رحيلك,you are too late to collect your leave
دوزت بزّاف لوقت على هادشي.,I've had too much time on this one.
هادشي مهمّ.,This is important.
كايهدر غير مرة مرة,he is only once
أنا لي فرحانة,i'm happy
عايشين بيخير,live well
تسنى!,it's possible!
ماجيك تال صباح,you're late in the morning
القلم كاين ف الطروسة,the pen is in the gear
كناكل كلشي.,I've been eating everything.
كيبغيتينا نعاودو ندخلوك هادا ناس,you want us to bring you people
حليب...؟,Milk...?
خاصني نخدم,I need to work
ماعندك فين تليف,You don't have a phone
كانقلب على بنتي أولدي,I'm turning to my daughter
كايطلّعوها علينا!,they're looking at us!
ناش نخرجو نتعشاو؟,do you want to go out to dinner?
بزاف ديال الناس تعادبو,people are confused
ماكاملش شهر باش مشينا عد الخياط,We didn't go for a month
تيليفون كايسوني,the phone is on me
أشن لبستي فأخير هالوين,what did you wear last Halloween
عمرك جربتي تخش فشي امتحان ديال هاد المادة,Have you tried to be afraid of the exam
مابغيتش نبقى العام جاي حيت مابغيتش الأداء ديالي ينزل ونولي عيب على الفرقة,i dont want to stay the year i dont want to perform
أش داك تهز شي موس,what do you do
كان كيسحاب ليا غادي تورت معانا أحدشي,i thought that i thought i'd have something
بات عشيري كايبي لينا لقبول بتمان مسيان,my partner is waiting for us to accept a masturbation
ماقدرتش نسرحو,i can't get off
زادوني تقرير خور ماعرفت أش ندير,I'm looking for a report I didn't know
نتحداك ت عصر داك ليمون و يخرج ليك منو الما,I dare you to squeeze that lemon and get you out of the money
وغادي أنقولك مرحبا.,i will tell you hello
مشات الواليدة تفصل لراسها شي زيوفة زوينين,the mom went to her boss's house
علاش مابغيتيش ت نشر حوايجك,Why don't you want to spread your clothes
عندي بزاف ديال الموظفين معجزة,i have a lot of employees
من ديما وانا كايعجبوني سنانك,since i always liked yours
يا تخلص داكشي يا غانواليو فشي مصيبة,you shouldn't have a problem
كانعيش ف الطاليان,i'm living at the port
سمحليا، قصدت سيدي!,"Forgive me, I meant sir!"
هدرا خاوية,this is empty
كنشوفهم كل 3 شهور تقريبا,I see them almost every three months
عاليك باقي ماهن,you need to stay away from them
تانا تشهيت نغوت,I'm looking for you
و كي كاتحسّي?,how do you feel?
طبوزي,my medicine
أنا راه مشغول هاد الأيامات,i'm busy these days
كولشي ولا خايف من كورونا,it's not scared of corona
هاد الماكلة مرة,this meal is once
مافهمتش اشنو كتقصد,I don't understand what you mean
والدي فيه الصداع,my dad has a headache
كيدايرا العلاقة ديالك بعائلتك؟,how is your relationship with your family?
صباح الخير، ماريا!,"Good morning, Maria!"
مات واحد سيد من العائلة,one of the family died
قالت ليا ماشي شغلك,she told me nothing about your job
أجي ولا ندربك,I will not train you
ولكن غادي يخصنا بزاف ديال بنادم باش نلعبو فريسبي مزيان,But it's gonna be a lot of things
هاداك سميتو شمات مشي راجل,this is what you call a man
خليني نهبط نشوف دريا,let me go see
هاهيا,That's it.
كان كيسحاب ليا غادي يجيب هاد التورنوا,i thought that he will answer this torna
ماعندكش لحق تڭلس هنا,I don't have the right to sit here
هبست شحال هادي,i lost it
أندهم,I call them
بلا ماترجع للور,Don't go back
خليني نحبسّهوم,Let me lock them up
أش بغيتو?,What do you want?
واو شحال زوين هاد سوق,this market is beautiful
راي ديالك يوهترم,you shouldn't be mad
من البره و انا هادا اللرد,from the land and I'm this guy
أجي تشوفي هو لي مشينا ليه و سولنا,come look for me
أنا لي غادي نمشي عند درڭري?,I'm going to go to my house?
راه كايليق تاهوا,there's a lot of people who have lost their lives
غاتعجبك?,do you like it?
بلا ما تمحن راسّك,Don't flatter yourself
كان كيسحاب ليا غادي يدخل تخلويد عاوتاني وماخايدخلش لحبس,i thought that he will go to bed
منسبة وانا نجري,i'm running
خليني ندي ليك هاد شانتا,let me give you this
أمين أ جمي,Amen to all
أجي غنّي ليا,come sing for me
هبيت وسد الباب,I came and closed the door
دوزت معاك وقت زوين,I made a good time with you
سميتو زوينا,you named us
غاتمشي قبل ماتسمعي آخر أخبار,i will go before you hear the latest news
ماغاديش يحنو فيك,he will not be with you
ماديرش راسك فنقالة باش ماينقبوكش دجاج,i will show you your head so you can't find chicken
هاديك زريعة أختي,this is my sister's farm
دير بحال ماڭتلك والو,do it like that
كانتبرد فاستاه,i'm getting cold
كان كيسحاب ليا غادي يختارع شي حاجة جديدة,i thought he will find something new
4 دلبنات شباب مفهمات,4 young girls understood
كانعيط ليك باش دجي تفوكني,i'll give you what you want
أنا غادي نعدمك,i will execute you
وا قتلوني بسوقرة رجليا حفاو,And they killed me with a pair of legs
دوزت سطاج ف لابورو,i took the groceries in the borro
مابغيتوش,You don't want to
لا لابلاش كاتبان ليا طونوبيل نادية,"No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no,"
تبصيل صغير,she's a kid
هاد القصة فيها عينا,this story has eyes
دبرت على خدمة جديدة,I did a new job
ف أسوأ الأحوال، غادي يهبطو,"worst of all, he's going to go down"
قطرة ب قطرة كايحمل الواد,he drops a drop to carry the valley
واش عرفتي فين جا المحل ديالو؟,do you know where the store came from?
كاين الهدوء هنا,it's quiet in here
خليه يسوني تايعيا وغادي يقتع,let him take care of me
تعطيني شهادة تبيا نديها ليهم,you give me a certificate
باقى ناشط,I'm active
الله يعاونك على ولادك,God help you with your birth
شحال من مرة ڭتليك هاد لهدرا,there's been a lot of talk about this
هاد الحفلة حدرو فيها غير الأبواب ديال تلاميد,this party has only doors
بانليا دمدومة,it's okay
و بسهتك لافتور زين.,And you need to look for it.
لخلا كحط عيباد الله,let's go to bed
قاليّة نطّاصل بيه,i say to call him
هادشي خلاعني,that took me off
ڭلايا xهاير جاي,everyone is happy
من جهة خرا,On the other hand
واش عندك شي ماكلة أولا شراب؟,Do you have a drink first?
أش بغيتيني نفهم راني شت تيليفونك,what do you want me to understand your phone
نتحداك تبقى واقف فهاد البوزيشن,I dare you to stand in this bossing
نتا راه شبه عمى.,You are like my uncle.
غادي نتغداو غير ف دار,I'm gonna go to lunch
مانضنش غادي دعمو باه في هاد المشروع,i don't think i will support this project
فالواقع يقدر يكون هادا حال مزيان,"Actually, this can be a good thing"
جرّبتي تستعمل شي پروڭرام ديال ترجمة فل پيسّي باش يعاون?,Have you tried to use something
جو سحاب الاحساء,it's too much soup
وله إلا غا دنيا,he has nothing to do with it
أنا غادي نعمردك رخوة وأنا كانسبن الحوايج,I'm gonna make you soft and I'm gonna fit the walls
تا أنا مسيان الحمد لله,"I'm sorry, thank god"
ممكن تصورني وأنا هدا شجرة,can you picture me in this tree
وليتي كاتعايرني,I wish you could borrow me
سف واخا لي بغيتي أختي,I'm sorry if you want my sister
أنا غادي نعاونك أمرتي,i will help you
وا لد من هادا?,And who is this?
معرت أش دارو حنا مشينا لديورنا,we went to our home
غانسافر لفرنسا,i will go to France
هاكم لا زون,this is not fun
أجي نقراو مجموعين,come and read together
علاش ماجيتيش تقراي صباح,Why don't you want to read in the morning
راه حيوي بزّاف ديما داحك,it's always so vital
نهار طويل,a long day
لا شكرا,No thanks
أنا غادي ندي ليك فلوسّك إيلا ڭلت ليك را دوريجين,I'm gonna have your money
كان خاصني واحد صاحبي ندوي معاه باش يوجد لينا القبر من بعد,i had a friend with him
أشنو بغيتي؟,what do you want?
واش أتبقى تاكل شوية ولا أيخصاك تمشي دابا؟,Don't you have to eat something or do you want to go?
والله إطلب,god ask
نتا كول وانا وحل فيا هادشي,you do it and i do it
حاول ماتفوش,try not to talk
كانبيع زيت البلديا,i'm selling city oil
راه كنقلب على خدمة,i'm working on a job
شارجي ليا الكونيكسيو,tell me the conicio
شعل التلفزة,Turn on the TV
لغويين مضحكين,i'm funny
من,from
لي ماتايحيت كساتو و مايتيب حداتو و مايحلب شاتو موتو حسن من حياتو,i don't like what he does and what he does and what he wants from his life
إيلا كان هادشي غايفرحك نديروها,if that's what makes you happy to do it
كايتلب غير شراع مسكين,he is a poor sailor
مشيت نشري كادو حيت معروضة لعرس,i went to buy a wedding
المشكل فيا ماشي فناس,the problem is not people
كاتقرا غير فدار,you read only in motel
الدراري كانو فترانسبور,The daryri was in Traspoor
سدي الباب ويالاه,close the door
يله تاهيا ليك,what do you do
كانسكن غير من وركم,i live outside of the hip
مزيان ماتخافش تقدر على راسك,It's good to be scared of you
كيداير?,how are you doing?
خانقيري العربية فواحد المدرسة قريبة,I'm talking Arabic in the school close by
علاش مابغيتيش تكلما,Why don't you want to talk
الطب و الرعاية الصحية و الخدمة الصحية الوطنية للي تاتكون ديما فالأخبار حيتاش مافيهاش فلوس كافية باش يكملو,medicine and health care and the National Health Service are always good news that there aren't enough money to complete
فيناهيا تاع الاستباة,where is he?
تشاور معايا فأي حاجة غاديرها راني مرتك واقيلا,consult with me about what I want to do
كيفاش أش بغاك بنادم وعلى اليوم أنا كنسوني والو,how do you want to feel sorry for me today
هادشي كولو كدوب,this is a bit of a lie
هانيا دابا توريك لليام,he is ready for the day
مكاينش فين تبات,where are you going
مازال ماخلستينيش,i still haven't seen you
عمرك جربتي تندمج فشي قسم كولو تخلويد,Have you tried to fit in the department
علاش مابغيتيش ت نتقد لبرامج لي فتلفازا,Why don't you wanna give me a TV show
كالا مرة تعلقها,like once he hung it
واش هادا نتا؟,Is that what you are?
لاحدت أناني وليت قادر شوية ناكل ماكلة حارة,I'm sorry if I can eat hot food
أوه، لا هادشي كايوقع مرة أخرى!,"Oh, no, that's not happening again!"
كايجيب ليا الجوع!,i'm hungry!
شكون نتا باش تفرد عليا شي حاجة مابغيتهاش,you don't want to do anything
